"","x"
"1",163.99635
"2",118.11285
"3",240.69565
"4",105.3309
"5",160.3927
"6",122.059
"7",147.18355
"8",76.00965
"9",149.5399
"10",268.9066
"11",75.0676
"12",123.16175
"13",167.80545
"14",162.3147
"15",74.44605
"16",106.32025
"17",154.5422
"18",142.8375
"19",296.28145
"20",337.39655
"21",100.7072
"22",102.15875
"23",106.7228
"24",215.34395
"25",122.84855
"26",237.9845
"27",97.2639
"28",139.69025
"29",60.45035
"30",74.8312
"31",122.6537
"32",106.52265
"33",128.4207
"34",120.3396
"35",154.2575
"36",84.7227500000001
"37",255.35245
"38",101.15115
"39",47.2789
"40",98.86475
"41",134.17105
"42",143.3509
"43",248.0603
"44",152.4748
"45",70.2039
"46",145.1245
"47",164.6267
"48",174.93405
"49",166.80105
"50",127.53945
"51",91.3544999999999
"52",109.7951
"53",102.77095
"54",148.79635
"55",116.0863
"56",63.2121
"57",79.8441
"58",74.3481
"59",105.66055
"60",115.19845
"61",151.00615
"62",155.37135
"63",162.1326
"64",122.9663
"65",141.415
"66",160.35175
"67",166.02445
"68",129.8143
"69",195.5947
"70",191.63955
"71",173.75525
"72",206.4146
"73",148.6016
"74",209.9383
"75",262.1387
"76",275.2908
"77",243.27925
"78",178.25725
"79",216.22405
"80",246.20505
"81",267.7821
"82",269.7093
"83",233.91045
"84",259.1078
"85",298.2282
"86",320.41
"87",308.99585
"88",272.1422
"89",309.2439
"90",425.67975
"91",298.373
"92",258.3476
"93",308.2011
"94",392.1619
"95",244.2638
"96",303.6496
"97",272.2579
"98",249.68645
"99",232.0806
"100",419.9336
"101",375.2116
"102",336.85355
"103",338.5513
"104",307.10305
"105",261.33065
"106",264.3868
"107",374.32755
"108",387.4401
"109",346.6307
"110",351.71615
"111",271.14605
"112",237.2988
"113",301.16585
"114",271.12525
"115",182.7417
"116",163.624
"117",373.35725
"118",424.16915
"119",406.66575
"120",363.49205
"121",334.419
"122",295.87395
"123",289.5789
"124",309.69375
"125",236.7854
"126",211.48205
"127",175.24955
"128",188.13255
"129",203.6184
"130",174.31835
"131",439.9779
"132",423.91645
"133",408.0298
"134",380.85225
"135",319.5713
"136",319.2137
"137",334.82315
"138",329.6812
"139",311.04115
"140",282.05375
"141",278.62775
"142",260.10775
"143",271.0479
"144",245.75905
"145",230.0163
"146",211.62515
"147",200.2269
"148",213.2594
"149",138.5094
"150",433.82425
"151",447.2928
"152",425.10425
"153",393.62715
"154",306.1154
"155",370.2023
"156",397.04415
"157",356.12995
"158",364.0258
"159",323.97455
"160",338.51605
"161",318.3164
"162",301.8141
"163",287.591
"164",291.83095
"165",238.20045
"166",295.02385
"167",188.5307
"168",158.87815
"169",115.18705
"170",394.54905
"171",413.38435
"172",397.41135
"173",378.5578
"174",363.34005
"175",391.3869
"176",370.8766
"177",344.4244
"178",333.9162
"179",388.93465
"180",312.1598
"181",343.0106
"182",328.93155
"183",319.67485
"184",283.32195
"185",280.15715
"186",215.60085
"187",202.63
"188",114.9501
"189",427.3977
"190",457.7427
"191",361.2074
"192",391.4548
"193",384.3241
"194",383.0199
"195",385.7799
"196",342.59785
"197",360.0331
"198",320.5054
"199",341.18095
"200",348.4464
"201",407.14965
"202",334.87265
"203",312.8634
"204",289.64315
"205",256.079
"206",180.01545
"207",147.14815
"208",398.4843
"209",441.59935
"210",475.89465
"211",402.3
"212",388.3419
"213",404.60695
"214",392.11435
"215",360.0696
"216",365.61135
"217",329.0183
"218",371.6409
"219",334.2168
"220",359.7402
"221",442.58465
"222",366.72335
"223",365.898
"224",314.62565
"225",280.81385
"226",233.4345
"227",172.07575
"228",115.505
"229",358.8298
"230",411.27415
"231",367.65925
"232",424.4566
"233",407.9746
"234",413.1009
"235",386.06915
"236",296.05625
"237",343.84985
"238",350.1421
"239",278.80295
"240",377.9514
"241",380.50005
"242",386.23915
"243",448.145
"244",413.30545
"245",358.05605
"246",274.06805
"247",218.8002
"248",188.53685
"249",183.8417
"250",152.38485
"251",119.0842
"252",246.6363
"253",428.92415
"254",412.28915
"255",380.2871
"256",429.7159
"257",307.71415
"258",355.01855
"259",366.9565
"260",329.67635
"261",403.8038
"262",423.24635
"263",431.5755
"264",456.0279
"265",500.78515
"266",322.56725
"267",341.35765
"268",239.07255
"269",187.08495
"270",157.81675
"271",146.65275
"272",207.02065
"273",257.8437
"274",349.69305
"275",357.1648
"276",359.7335
"277",360.3387
"278",394.58605
"279",433.119
"280",418.79515
"281",461.6245
"282",447.3058
"283",382.5956
"284",312.3363
"285",308.33495
"286",292.2661
"287",271.4615
"288",180.75915
"289",155.7313
"290",290.8324
"291",268.6731
"292",350.4422
"293",312.50865
"294",363.8715
"295",398.3335
"296",391.16925
"297",451.3274
"298",431.0961
"299",404.6245
"300",400.5948
"301",354.90755
"302",303.7812
"303",323.78775
"304",301.2663
"305",199.8344
"306",156.71965
"307",308.4868
"308",333.59355
"309",319.1982
"310",382.9951
"311",442.675
"312",415.84145
"313",374.98705
"314",399.1444
"315",410.1641
"316",428.3597
"317",366.86995
"318",305.76435
"319",295.28085
"320",258.5793
"321",209.6396
"322",158.17335
"323",275.44385
"324",360.37095
"325",327.1173
"326",433.98955
"327",430.67815
"328",348.25465
"329",399.0461
"330",381.49035
"331",399.78335
"332",261.75155
"333",363.50745
"334",319.592
"335",294.35605
"336",260.5516
"337",210.13315
"338",310.55745
"339",332.71975
"340",392.04645
"341",392.5972
"342",333.69905
"343",351.0887
"344",433.0041
"345",364.75025
"346",249.2033
"347",344.41455
"348",340.86075
"349",265.44905
"350",246.9028
"351",214.0294
"352",295.82865
"353",324.5134
"354",358.5332
"355",383.5442
"356",364.23835
"357",383.2391
"358",393.5343
"359",312.8496
"360",358.96855
"361",326.9642
"362",295.36195
"363",250.65965
"364",188.16945
"365",164.67285
"366",288.533
"367",356.489
"368",381.3536
"369",334.16605
"370",328.6484
"371",342.386
"372",337.69825
"373",321.0653
"374",319.8571
"375",179.60295
"376",189.11385
"377",240.32045
"378",365.20935
"379",293.95415
"380",349.13155
"381",355.40965
"382",350.61565
"383",351.83405
"384",307.8237
"385",204.6227
"386",326.1893
"387",277.8949
"388",327.2755
"389",348.6814
"390",341.85105
"391",262.17155
"392",277.09975
"393",304.2018
"394",355.1402
"395",302.43175
"396",355.04555
"397",335.17885
"398",307.23445
"399",291.28795
"400",299.11955
"401",340.7639
"402",283.2612
"403",322.59835
"404",318.0265
"405",133.5595
"406",277.3559
"407",244.66455
"408",319.2373
"409",318.08275
"410",294.1993
"411",241.0309
"412",162.77275
"413",155.764
"414",251.53425
"415",238.65755
"416",289.250057142857
"417",302.92325
"418",286.7105
"419",166.71555
"420",158.2895
"421",196.1719
"422",272.0316
"423",215.88665
"424",315.981157142857
"425",292.857
"426",162.1949
"427",231.492178571429
"428",274.9841
"429",307.9083
"430",157.35295
"431",286.345311134384
"432",266.311
"433",251.04995
"434",273.23115
"435",314.50875
"436",321.375346153846
"437",329.1484
"438",198.71435
"439",252.6654
"440",268.23945
"441",248.901584782609
"442",252.2812
"443",277.5048
"444",318.84805
"445",356.374030795635
"446",291.1075
"447",208.91865
"448",245.80191797676
"449",174.630787121212
"450",260.1497
"451",259.88155
"452",298.3524
"453",285.5088
"454",330.092921428572
"455",303.21235
"456",181.63775
"457",252.9489
"458",246.7448
"459",293.09825
"460",299.92605
"461",259.91715
"462",265.95245
"463",207.3567
"464",181.3931
"465",185.958489393939
"466",178.388716666667
"467",311.3099
"468",284.1396
"469",300.4216
"470",294.656
"471",303.1572
"472",159.0943
"473",242.964899675325
"474",253.1912
"475",300.9869
"476",328.4572
"477",320.08975
"478",222.97175
"479",175.747918181818
"480",165.476123600574
"481",234.12425
"482",244.584913636364
"483",311.62215
"484",237.30985
"485",194.83645
"486",146.82885
"487",172.749422821915
"488",270.768060714286
"489",213.3373
"490",234.001607142857
"491",206.2305
"492",148.5535
"493",151.38485
"494",127.57615
"495",165.414658333333
"496",231.254712129175
"497",176.23205
"498",169.0191
"499",160.634166666667
"500",160.568771212121
"501",114.350828571429
"502",175.800134598735
"503",273.347207894737
"504",165.06095
"505",168.4167
"506",143.0303
"507",185.73075
"508",181.5458
"509",167.432436466165
"510",187.672626372998
"511",198.2164
"512",87.6378
"513",55.89805
"514",77.4094
"515",115.294
"516",69.8709
"517",79.5993
"518",61.5768
"519",131.84305
"520",45.65945
"521",56.10665
"522",66.22325
"523",63.50395
"524",86.7412
"525",77.70075
"526",49.9721
"527",75.2447
