"","x"
"1",169.380171428571
"2",114.1365
"3",252.20415
"4",144.17645
"5",151.32225
"6",209.15945
"7",129.8554
"8",104.88715
"9",114.3456
"10",282.252
"11",164.82545
"12",148.88425
"13",168.9662
"14",187.19605
"15",90.0384
"16",124.0783
"17",168.722
"18",212.80955
"19",292.47415
"20",320.0816
"21",147.5045
"22",106.93995
"23",106.2908
"24",223.5216
"25",179.8672
"26",156.9016
"27",102.5896
"28",99.93625
"29",90.1855999999999
"30",168.73325
"31",106.6436
"32",98.62935
"33",143.26185
"34",129.02065
"35",219.9385
"36",82.2524
"37",258.4841
"38",117.34665
"39",72.7014
"40",100.4503
"41",137.3321
"42",202.45905
"43",256.62225
"44",153.6957
"45",72.35245
"46",136.123
"47",162.04155
"48",173.07355
"49",161.871275
"50",128.01655
"51",123.1392
"52",112.9731
"53",114.01385
"54",160.8568
"55",131.24905
"56",50.46185
"57",77.51715
"58",100.9695
"59",107.5104
"60",118.64725
"61",133.06655
"62",159.70625
"63",151.83
"64",163.3413
"65",152.177807142857
"66",151.7931
"67",139.55535
"68",124.4618
"69",186.485621428571
"70",182.04365
"71",196.49625
"72",162.1226
"73",150.106167532468
"74",143.75715
"75",211.9054
"76",243.2051
"77",252.1778
"78",159.28035
"79",230.54595
"80",176.66225
"81",194.5525
"82",262.01135
"83",268.5069
"84",261.72995
"85",288.54385
"86",276.79355
"87",303.75845
"88",214.64935
"89",278.310543350755
"90",412.73935
"91",297.1592
"92",298.8918
"93",284.118
"94",375.6932
"95",313.9215
"96",294.2529
"97",268.9072
"98",232.7583
"99",219.7932
"100",417.02505
"101",351.48575
"102",296.2239
"103",309.3919
"104",298.5247
"105",204.7751
"106",245.38095
"107",354.8386
"108",384.25685
"109",350.5876
"110",327.4067
"111",311.25275
"112",266.4214
"113",282.36685
"114",195.1032
"115",180.61815
"116",192.78035
"117",335.46855
"118",436.16535
"119",422.77005
"120",355.9564
"121",314.40075
"122",284.0386
"123",308.48765
"124",281.91135
"125",217.99655
"126",193.6156
"127",197.7729
"128",184.9724
"129",198.2188
"130",149.81245
"131",392.5182
"132",445.8403
"133",402.5296
"134",377.4947
"135",258.10885
"136",262.3075
"137",316.2131
"138",321.9809
"139",294.78545
"140",198.66155
"141",216.3947
"142",184.60095
"143",255.4154
"144",238.621
"145",222.34725
"146",210.2652
"147",193.44815
"148",199.27425
"149",137.95845
"150",352.9849
"151",448.403
"152",395.67755
"153",406.1333
"154",325.25495
"155",355.7225
"156",371.2188
"157",332.0547
"158",329.2073
"159",299.03385
"160",300.1179
"161",300.85945
"162",280.20725
"163",329.9897
"164",292.298
"165",227.07145
"166",245.581
"167",211.86115
"168",147.18255
"169",121.96855
"170",399.1731
"171",412.81355
"172",399.4396
"173",365.36475
"174",260.38935
"175",364.10235
"176",359.8365
"177",334.7902
"178",294.4852
"179",318.05265
"180",318.5611
"181",331.2532
"182",312.489
"183",314.8859
"184",299.19495
"185",314.25805
"186",221.09005
"187",193.12825
"188",116.79465
"189",429.78565
"190",448.0991
"191",380.9255
"192",355.18585
"193",364.70255
"194",356.3431
"195",363.5172
"196",327.4135
"197",316.8807
"198",311.48435
"199",328.5266
"200",332.8552
"201",383.21805
"202",328.9878
"203",295.4108
"204",332.81695
"205",222.127
"206",174.6525
"207",142.66555
"208",398.7908
"209",437.32575
"210",419.92715
"211",359.6952
"212",381.02655
"213",380.0077
"214",377.4795
"215",337.1323
"216",339.5868
"217",311.1168
"218",357.1186
"219",323.0265
"220",353.80125
"221",408.1203
"222",362.37645
"223",379.89245
"224",326.7536
"225",237.93515
"226",221.94875
"227",164.57005
"228",123.3741
"229",345.530087398374
"230",399.25975
"231",369.8952
"232",453.33865
"233",405.9701
"234",409.6746
"235",355.87165
"236",336.33635
"237",263.96265
"238",323.4318
"239",339.3352
"240",340.70265
"241",374.84
"242",386.03435
"243",418.6857
"244",395.3746
"245",353.3583
"246",253.40875
"247",209.7277
"248",181.6678
"249",192.2919
"250",147.761
"251",106.6043
"252",284.08115
"253",410.97845
"254",397.07185
"255",363.18645
"256",391.1528
"257",374.18075
"258",382.81575
"259",341.837043650794
"260",361.467800000001
"261",376.0346
"262",395.18715
"263",402.873
"264",439.8448
"265",392.17645
"266",328.58245
"267",332.46895
"268",207.6825
"269",179.8279
"270",165.2208
"271",151.89565
"272",207.4665
"273",256.6046
"274",342.5888
"275",355.0012
"276",365.396992857143
"277",389.5436
"278",379.4088
"279",420.7227
"280",398.65595
"281",440.86595
"282",399.9265
"283",395.4377
"284",319.80195
"285",304.2031
"286",227.04185
"287",224.11905
