"","x"
"1",265.51225
"2",97.1443999999999
"3",177.98455
"4",101.13415
"5",108.67865
"6",131.63695
"7",262.2624
"8",98.4193
"9",105.1202
"10",243.12295
"11",67.7674
"12",130.05955
"13",163.8152
"14",169.97235
"15",75.5185500000001
"16",119.63945
"17",283.70815
"18",173.0785
"19",164.2129
"20",321.06425
"21",105.04375
"22",101.269
"23",105.55765
"24",220.50825
"25",117.7431
"26",168.7971
"27",91.6259
"28",160.11925
"29",59.55505
"30",77.3684
"31",103.08135
"32",92.8107500000001
"33",124.46605
"34",113.3734
"35",163.27405
"36",72.9178
"37",255.19155
"38",185.83785
"39",43.9376
"40",83.7823
"41",143.86655
"42",193.45595
"43",253.36575
"44",125.07535
"45",68.5739285714286
"46",148.2999
"47",121.29985
"48",169.27255
"49",166.237
"50",110.20575
"51",88.75325
"52",101.0767
"53",110.06265
"54",136.32995
"55",115.5091
"56",63.12515
"57",82.4982
"58",71.84955
"59",95.4158
"60",112.56905
"61",120.52685
"62",164.0882
"63",151.2568
"64",104.6921
"65",151.0263
"66",168.24
"67",127.0203
"68",135.9406
"69",191.9792
"70",195.02215
"71",209.83845
"72",195.0751
"73",140.633036363636
"74",191.95835
"75",220.9473
"76",252.35815
"77",222.53305
"78",211.6368
"79",234.8888
"80",257.6768
"81",215.8144
"82",276.5908
"83",263.0336
"84",258.6027
"85",296.02865
"86",306.73005
"87",321.40315
"88",273.43795
"89",300.7311
"90",389.5245
"91",246.0033
"92",299.56455
"93",260.9171
"94",351.8664
"95",300.07255
"96",294.68085
"97",276.11175
"98",233.4665
"99",231.5154
"100",392.0657
"101",376.1977
"102",335.1577
"103",321.9209
"104",306.7563
"105",250.32825
"106",263.8224
"107",362.21355
"108",384.5733
"109",348.7301
"110",327.7398
"111",273.5105
"112",276.89375
"113",302.05915
"114",256.88355
"115",199.5655
"116",191.94355
"117",370.18195
"118",436.68285
"119",417.62865
"120",330.53155
"121",334.08245
"122",184.24505
"123",311.66585
"124",234.7415
"125",233.0745
"126",205.3465
"127",206.2498
"128",168.7459
"129",202.4457
"130",170.33635
"131",441.29385
"132",422.9128
"133",358.6719
"134",365.05875
"135",325.3156
"136",274.4341
"137",333.4744
"138",320.3016
"139",293.9706
"140",279.6456
"141",275.134
"142",249.38125
"143",263.39575
"144",278.60585
"145",252.405
"146",214.6297
"147",196.2284
"148",215.69575
"149",143.43325
"150",370.1456
"151",445.3404
"152",339.4412
"153",410.0452
"154",330.9478
"155",364.59745
"156",378.01005
