"","x"
"1",153.90755
"2",109.59315
"3",253.442
"4",92.9582
"5",139.3011
"6",134.37785
"7",132.12915
"8",139.4673
"9",103.50045
"10",298.1704
"11",69.25775
"12",126.37685
"13",261.5151
"14",150.0185
"15",78.7721
"16",97.4276
"17",148.1
"18",244.6088
"19",307.15
"20",341.0999
"21",106.766
"22",90.8564499999999
"23",100.746
"24",145.25665
"25",96.9099499999999
"26",126.29825
"27",83.21585
"28",86.12895
"29",57.20565
"30",70.1407
"31",88.2163000000001
"32",91.4619
"33",113.37265
"34",109.6405
"35",125.68235
"36",126.8711
"37",258.76185
"38",99.3639999999999
"39",67.90085
"40",105.08025
"41",114.5943
"42",145.6855
"43",254.2937
"44",105.16785
"45",76.9203
"46",135.4433
"47",165.1431
"48",154.4541
"49",167.81245
"50",111.90815
"51",93.5701499999999
"52",92.25645
"53",102.69075
"54",146.6042
"55",109.084
"56",58.81805
"57",74.98865
"58",73.1914
"59",84.40225
"60",107.0249
"61",134.4928
"62",158.7257
"63",158.78685
"64",139.2187
"65",143.7812
"66",170.61055
"67",111.20065
"68",137.19645
"69",180.38925
"70",193.97755
"71",208.2779
"72",209.10305
"73",159.463210714286
"74",171.28325
"75",232.46435
"76",273.6152
"77",258.228
"78",212.2039
"79",246.9325
"80",257.8788
"81",282.7404
"82",299.19795
"83",275.3744
"84",266.21895
"85",316.67815
"86",347.87825
"87",322.027
"88",278.7113
"89",233.95155
"90",402.7024
"91",293.32615
"92",311.6645
"93",404.5369
"94",351.42825
"95",316.7242
"96",261.5813
"97",286.7178
"98",183.4022
"99",226.63395
"100",429.17225
"101",373.6434
"102",335.24135
"103",339.6222
"104",321.0698
"105",270.1669
"106",283.3205
"107",371.1001
"108",395.4116
"109",285.98955
"110",342.40395
"111",311.45755
"112",284.346
"113",305.6191
"114",263.63785
"115",180.3951
"116",212.4111
"117",363.89845
"118",434.29395
"119",419.41525
"120",366.2874
"121",331.8398
"122",209.617
"123",318.56525
"124",310.6934
"125",241.0061
"126",212.46285
"127",218.98065
"128",205.12865
"129",211.9474
"130",176.1619
"131",434.98695
"132",431.59545
"133",384.70105
"134",332.53835
"135",318.6246
"136",328.6467
"137",345.9058
"138",340.71895
"139",325.61565
"140",288.26565
"141",314.30785
"142",209.3272
"143",263.322
"144",247.4237
"145",234.93595
"146",220.39235
"147",204.75335
"148",190.2922
"149",149.38805
"150",403.59575
"151",448.86485
"152",380.17905
"153",423.3154
"154",334.78825
"155",366.58105
"156",428.97215
"157",377.97455
"158",369.32115
"159",329.8318
"160",328.85265
"161",326.5587
"162",320.5339
"163",282.25085
"164",287.74925
"165",249.53035
"166",234.59355
"167",182.0362
"168",154.279
"169",120.3022
"170",422.7992
"171",411.81545
"172",382.2223
"173",384.5694
"174",359.78855
"175",402.85095
"176",374.2117
"177",349.24605
"178",345.918
"179",362.48135
"180",336.5508
"181",354.27495
"182",355.4394
"183",316.39425
"184",277.96095
"185",293.9656
"186",219.7091
"187",203.5152
"188",121.56355
"189",389.9532
"190",445.77875
"191",339.9537
"192",390.7252
"193",393.9129
"194",405.17445
"195",392.11175
"196",355.26725
"197",367.7185
"198",323.78865
"199",345.5731
"200",355.93835
"201",440.7035
"202",347.72885
"203",318.87125
"204",271.5943
"205",242.36745
"206",181.3985
"207",150.3454
"208",350.3021
"209",453.6716
"210",484.8259
"211",413.40355
"212",395.7678
"213",400.289
"214",368.04875
"215",346.648
"216",374.17885
"217",329.9031
"218",370.08265
"219",339.4955
"220",364.19895
"221",409.0806
"222",377.73715
"223",364.17205
"224",323.2113
"225",244.755
"226",225.8743
"227",183.36165
"228",124.7458
"229",402.4331
"230",395.13935
"231",383.0745
"232",474.6961
"233",416.8601
