"","x"
"1",256.443542857143
"2",134.5361
"3",247.82625
"4",117.7712
"5",105.6451
"6",136.2873
"7",123.1193
"8",97.5017499999999
"9",117.0038
"10",259.30575
"11",90.93425
"12",150.4452
"13",181.20875
"14",176.0409
"15",81.80925
"16",113.18515
"17",145.87245
"18",212.56345
"19",276.00875
"20",326.08185
"21",120.78305
"22",114.78285
"23",111.7258
"24",219.11725
"25",120.36155
"26",147.21355
"27",106.49375
"28",120.77245
"29",71.6567
"30",93.9366499999999
"31",109.5165
"32",97.51375
"33",142.89435
"34",114.7968
"35",237.1811
"36",134.6112
"37",256.76205
"38",135.6518
"39",72.9607
"40",98.7921999999999
"41",148.34705
"42",174.45785
"43",245.9713
"44",122.63255
"45",74.0113
"46",156.11685
"47",141.04235
"48",171.6003
"49",162.2503
"50",127.65205
"51",112.0962
"52",106.21885
"53",109.26655
"54",144.961
"55",123.880964285714
"56",68.4246
"57",82.78895
"58",113.27755
"59",101.84385
"60",116.8469
"61",142.9891
"62",182.24945
"63",142.3805
"64",147.92785
"65",149.371792857143
"66",157.6108
"67",134.47905
"68",138.68055
"69",188.38125
"70",193.63705
"71",202.91125
"72",193.96135
"73",142.106197058824
"74",143.1481
"75",213.9184
"76",259.724107142857
"77",250.59795
"78",199.96375
"79",203.4924
"80",257.19785
"81",222.0553
"82",212.0545
"83",263.0717
"84",276.14255
"85",285.36035
"86",325.1069
"87",304.01945
"88",251.58105
"89",300.4021
"90",411.2954
"91",302.7488
"92",300.4304
"93",364.5708
"94",371.42705
"95",276.0788
"96",236.3847
"97",267.92755
"98",233.34885
"99",220.76525
"100",377.18625
"101",362.9854
"102",331.77645
"103",321.95925
"104",246.28675
"105",256.3034
"106",255.4132
"107",366.64125
"108",372.3432
"109",278.06645
"110",328.94815
"111",308.6371
"112",279.80415
"113",277.6073
"114",269.7125
"115",168.8774
"116",198.40885
"117",367.03755
"118",428.3072
"119",411.5034
"120",351.8722
"121",330.60125
"122",281.1383
"123",291.97735
"124",284.3723
"125",213.94895
"126",193.5182
"127",200.85005
"128",188.80865
"129",203.1052
"130",153.7468
"131",425.455
"132",418.8086
"133",350.383
"134",373.32735
"135",313.0826
"136",308.35345
"137",321.3827
"138",315.03375
"139",300.5022
"140",256.1526
"141",261.7322
"142",244.7756
"143",264.9277
"144",245.23555
"145",226.47655
"146",205.5477
"147",194.9781
"148",205.3868
"149",138.07895
"150",412.29785
"151",432.6294
"152",331.19455
"153",411.53555
"154",320.36185
"155",356.40545
"156",359.8171
"157",338.26275
"158",326.48485
"159",282.873092857143
"160",296.78415
"161",300.217
"162",292.65875
"163",296.9812
"164",281.6697
"165",235.8443
"166",233.2527
"167",181.98665
"168",154.0291
"169",121.54055
"170",404.4561
"171",394.789599999999
"172",391.16115
"173",379.1424
"174",248.7195
"175",354.386
"176",341.0041
"177",327.44715
"178",303.695
"179",318.2608
"180",276.3565
"181",330.396
"182",301.57375
"183",309.5955
"184",289.8141
"185",281.7377
"186",219.7034
"187",198.1869
"188",123.7604
"189",412.98475
"190",436.03785
"191",380.09515
"192",383.63
"193",360.1949
"194",374.703
"195",356.2158
"196",327.9988
"197",332.16245
"198",306.5176
"199",327.13915
"200",318.826
"201",358.5185
"202",336.1385
"203",336.7354
"204",319.82885
"205",258.2768
"206",159.99245
"207",146.6284
"208",386.5848
"209",434.42665
"210",408.8671
"211",402.91315
"212",389.0418
"213",333.38445
"214",341.04285
"215",339.59235
"216",339.9081
"217",327.9316
"218",355.72695
"219",328.9109
"220",350.3331
"221",394.9554
"222",359.34835
"223",380.05415
"224",317.5009
"225",254.5372
"226",203.3047
"227",170.1164
"228",129.93365
"229",379.841095859937
"230",401.62475
"231",343.19765
"232",406.42795
"233",411.733
"234",407.95385
"235",361.0954
"236",366.8063
"237",340.95325
"238",336.26815
"239",255.71385
"240",359.1503
"241",359.2823
"242",404.3161
"243",418.94865
"244",387.4826
"245",349.0066
"246",261.67385
"247",215.10745
"248",189.8467
"249",194.08005
"250",113.11965
"251",101.11605
"252",276.21465
"253",287.67915
"254",380.504
"255",359.03775
"256",384.11055
"257",320.2233
"258",358.43165
"259",344.62555
"260",285.3205
"261",378.3848
"262",406.06945
"263",403.0188
"264",432.5238
"265",376.98745
"266",329.81985
"267",276.8395
"268",223.6799
"269",188.09465
"270",155.8488
"271",122.43925
"272",206.25695
"273",339.5648
"274",324.51085
"275",342.4112
"276",307.2493
"277",349.45035
"278",389.3668
"279",428.615
"280",413.77275
"281",435.33485
"282",380.48625
"283",478.26065
"284",315.7088
"285",300.24745
"286",228.766
"287",216.67185
"288",179.57925
"289",145.4142
"290",197.426114705882
"291",253.5983
"292",324.411535714286
"293",301.33835
"294",354.95475
"295",418.61875
"296",371.9109
"297",453.79515
"298",429.3368
"299",406.7996
"300",418.16055
"301",349.7154
"302",311.94635
"303",239.82255
"304",252.28975
"305",211.9268
"306",153.74925
"307",298.97185
"308",331.60095
"309",300.08465
"310",354.8316
"311",409.03275
"312",404.55815
"313",367.3186
"314",393.30685
"315",408.30135
"316",384.32575
"317",382.2242
"318",293.01255
"319",277.6074
"320",236.88765
"321",212.6337
"322",147.83055
"323",272.8427
"324",245.39145
"325",343.4932
"326",481.3056
"327",408.5443
"328",306.1733
"329",388.21235
"330",392.717
"331",391.9912
"332",266.80285
"333",318.9257
"334",304.69005
"335",289.50225
"336",272.32755
"337",211.16285
"338",339.39405
"339",314.00525
"340",372.0213
"341",354.1685
"342",324.6297
"343",322.713857142857
"344",473.87025
"345",292.7012
"346",304.7026
"347",337.4931
"348",333.4486
"349",272.1114
"350",241.7645
"351",228.87305
"352",280.41405
"353",313.5378
"354",337.7839
"355",368.07255
"356",362.8482
"357",369.1119
"358",366.126464285714
"359",311.5984
"360",355.58765
"361",314.8434
"362",272.0995
"363",230.21975
"364",196.06295
"365",190.27995
"366",279.55225
"367",325.78185
"368",377.26965
"369",320.7212
"370",355.2207
"371",341.67855
"372",314.0807
"373",320.3952
"374",286.0515
"375",162.7688
"376",163.8153
"377",230.48335
"378",340.8976
"379",204.5997
"380",341.128266129033
"381",332.281719975186
"382",340.44245
"383",287.0578
"384",221.2722
"385",179.2367
"386",286.91895
"387",270.027
"388",346.029
"389",336.19345
"390",311.9185
"391",218.53905
"392",263.7265
"393",228.9473
"394",260.3463
"395",303.99145
"396",340.80565
"397",318.78005
"398",279.14715
"399",278.0409
"400",269.851
"401",321.7252
"402",310.77385
"403",299.322
"404",224.6504
"405",147.52785
"406",261.7508
"407",301.2728
"408",311.41995
"409",302.8908
"410",213.521185714286
"411",280.2337
"412",153.8527
"413",162.6153
"414",260.83745
"415",287.2443
"416",294.6968
"417",291.8344
"418",181.554986363636
"419",148.08305
"420",189.5097
"421",186.9746
"422",265.865742857143
"423",288.85875
"424",325.75985
"425",305.5384
"426",174.46035
"427",279.449302272727
"428",175.6922
"429",228.36535
"430",188.07765
"431",272.96346173047
"432",187.367303846154
"433",149.93605
"434",275.004045454546
"435",283.80005
"436",227.60375
"437",317.039114285714
"438",199.944241666667
"439",241.946333333333
"440",249.32105
"441",275.024128571429
"442",270.2067
"443",256.49725
"444",314.64465
"445",341.7845
"446",282.33405
"447",212.208531203008
"448",185.543875009037
"449",194.716405952381
"450",264.465461904762
"451",143.4322
"452",274.64055
"453",127.89565
"454",320.258296153846
"455",274.9298
"456",196.012033333333
"457",185.792684358697
"458",283.2717
"459",290.15475
"460",279.47105
"461",234.992396153846
"462",254.14525
"463",299.7331
"464",175.712271428572
"465",187.480835930736
"466",186.343027034339
"467",298.8907
"468",282.6207
"469",295.60755
"470",281.20405
"471",302.290856097561
"472",163.95725
"473",230.729326313255
"474",137.48545
"475",295.3466
"476",319.49195
"477",305.3067
"478",190.0295
"479",159.442972727273
"480",146.206535958134
"481",239.89485
"482",243.7417
"483",299.26575
"484",227.4861
"485",195.3288
"486",178.545403846154
"487",152.31930369945
"488",215.837268031968
"489",191.41595
"490",229.855487878788
"491",197.94445
"492",159.22275
"493",160.499584015984
"494",136.98865
"495",177.585092179921
"496",239.594970585921
"497",185.9167
"498",171.44545
"499",165.6644
"500",158.697551656238
"501",123.22675
"502",193.260567316017
"503",288.036535714286
"504",174.5646
"505",161.010038095238
"506",150.74935
"507",175.715225
"508",223.674975
"509",179.016123537434
"510",237.80677833816
"511",197.0859
"512",157.71215
"513",126.3842
"514",83.9917
"515",89.9306
"516",70.3401428571429
"517",135.62395
"518",83.7467499999999
"519",77.71565
"520",47.9613
"521",67.5519
"522",77.05545
"523",79.1776
"524",101.2474
"525",83.76455
"526",58.54575
"527",71.39305
"528",63.50975
"529",83.5402999999999
"530",97.2655500000001
"531",86.573575
"532",81.5562000000001
"533",174.86435
"534",64.49515
"535",85.581
"536",142.09065
"537",104.0731
"538",137.8103
"539",70.55685
"540",56.13045
"541",68.54425
"542",118.81875
"543",117.5048
"544",171.97085
"545",216.60615
"546",87.0645
"547",70.80675
"548",123.20105
"549",66.30745
"550",81.14635
"551",147.6912
"552",71.0259
"553",88.4933357142857
"554",118.3573
"555",118.7742
"556",138.82535
"557",147.8372
"558",90.4673
"559",65.72225
"560",100.56255
"561",82.89755
"562",79.1958
"563",63.43915
"564",136.0903
"565",87.58775
"566",96.7336
"567",89.8234500000001
"568",62.83425
"569",99.3578
"570",70.97145
"571",170.9193
"572",71.11305
"573",100.8806
"574",88.85995
"575",114.39195
"576",77.6345999999999
"577",62.9567
"578",85.0395500000001
"579",181.0013
"580",164.38185
"581",74.2238
"582",78.72195
"583",66.23165
"584",120.65505
"585",88.4910999999999
"586",93.4686999999999
"587",121.5007
"588",98.6257
"589",75.86
"590",78.54325
"591",71.04565
"592",57.2885
"593",60.7706636363636
"594",62.5971
"595",73.6917999999999
"596",87.06845
"597",145.16045
"598",98.9709500000001
"599",168.66715
"600",92.9947
"601",118.4703
"602",180.4846
"603",106.3093
"604",206.0143
