"","x"
"1",154.63835
"2",109.029
"3",157.9193
"4",103.07905
"5",130.61405
"6",138.73105
"7",224.2427
"8",79.8083
"9",140.68005
"10",273.58705
"11",85.63205
"12",125.9497
"13",157.3735
"14",146.6446
"15",75.8766
"16",102.62225
"17",124.6963
"18",157.8278
"19",209.5315
"20",331.57485
"21",104.3182
"22",193.91825
"23",104.81875
"24",218.47475
"25",99.5006
"26",132.18195
"27",88.40415
"28",88.97215
"29",60.7461999999999
"30",70.1453
"31",98.6778
"32",95.12845
"33",108.93645
"34",108.32555
"35",139.56945
"36",131.5948
"37",256.3228
"38",102.95705
"39",40.52975
"40",101.16005
"41",107.1675
"42",187.55765
"43",253.53695
"44",133.13435
"45",68.1593
"46",144.04135
"47",164.5323
"48",173.9172
"49",164.772
"50",118.98595
"51",92.19365
"52",105.54755
"53",108.5423
"54",153.2099
"55",78.0947
"56",36.9902
"57",70.7192
"58",74.75505
"59",91.23485
"60",110.84795
"61",126.7012
"62",153.96205
"63",159.23555
"64",139.1614
"65",148.2558
"66",163.96565
"67",121.76445
"68",154.9812
"69",188.7406
"70",193.39025
"71",202.17725
"72",207.70355
"73",157.125127272727
"74",157.15675
"75",234.00365
"76",251.9952
"77",257.6216
"78",182.33645
"79",305.44295
"80",269.69165
"81",279.97515
"82",284.4542
"83",260.66495
"84",272.1786
"85",317.5947
"86",323.8596
"87",316.7123
"88",273.43685
"89",316.22495
"90",431.55205
"91",309.9454
"92",291.46075
"93",318.9625
"94",411.8942
"95",323.80365
"96",303.6211
"97",284.2219
"98",200.29145
"99",238.9647
"100",385.19635
"101",364.052499999999
"102",346.1818
"103",363.23495
"104",313.4112
"105",272.6205
"106",273.38535
"107",378.09465
"108",397.08265
"109",358.69775
"110",323.5629
"111",304.76265
"112",285.2268
"113",286.2409
"114",266.8759
"115",180.85295
"116",206.3136
"117",390.59715
"118",444.9381
"119",413.28215
"120",376.16725
"121",335.29575
"122",303.5686
"123",321.03535
"124",300.40405
"125",260.1309
"126",219.54395
"127",219.2159
"128",194.88585
"129",215.42415
"130",172.4642
"131",450.10325
