"","x"
"1",148.88335
"2",141.66675
"3",172.0666
"4",127.6079
"5",100.9618
"6",142.2919
"7",148.865
"8",75.5962
"9",109.08715
"10",285.6503
"11",66.13955
"12",98.81115
"13",142.7902
"14",139.05225
"15",61.10845
"16",80.2574
"17",125.65765
"18",139.7135
"19",322.75435
"20",352.327
"21",95.4442000000001
"22",103.48985
"23",101.23485
"24",210.9482
"25",82.4103
"26",142.0174
"27",68.6967
"28",81.7500000000001
"29",55.80275
"30",63.3938
"31",85.754
"32",95.1576
"33",99.05925
"34",100.497
"35",133.12995
"36",116.6803
"37",255.5814
"38",137.49945
"39",67.4482
"40",178.0207
"41",84.6014499999999
"42",178.6181
"43",247.4572
"44",108.7963
"45",89.696
"46",138.12555
"47",152.78495
"48",147.9796
"49",170.35075
"50",108.078
"51",88.8832
"52",82.2393
"53",97.2673
"54",94.7097
"55",103.84205
"56",36.1677
"57",74.5135
"58",71.40405
"59",83.9147000000001
"60",107.39295
"61",127.31235
"62",172.94605
"63",160.38515
"64",190.4491
"65",135.9382
"66",169.26225
"67",106.8578
"68",131.572
"69",192.2895
"70",215.6745
"71",218.58355
"72",217.97455
"73",154.142592857143
"74",167.6355
"75",226.6792
"76",278.282
"77",263.04525
"78",214.10865
"79",248.7448
"80",223.4868
"81",290.8174
"82",310.0123
"83",283.1208
"84",269.45415
"85",322.5631
"86",334.2144
"87",311.1717
"88",276.05615
"89",245.59745
"90",439.81195
"91",319.08795
"92",311.6952
"93",422.63375
"94",401.31185
"95",280.96505
"96",286.0115
"97",288.35385
"98",269.74465
"99",261.33985
"100",408.8782
"101",367.0525
"102",339.60785
"103",355.00795
"104",317.1968
"105",275.03055
"106",274.9649
"107",306.1994
"108",393.91675
"109",362.47935
"110",368.1061
"111",319.87965
"112",277.01905
"113",310.42005
"114",281.09365
"115",173.2076
"116",209.711
"117",393.341
"118",437.8064
"119",407.4982
"120",327.988
"121",320.33535
"122",294.48635
"123",310.43785
"124",334.99275
"125",241.9673
"126",218.02645
"127",221.75775
"128",209.52685
"129",212.77135
"130",172.3361
"131",465.06455
"132",451.45835
"133",409.0816
"134",382.5849
"135",270.88505
"136",339.73935
"137",354.98925
"138",354.28545
"139",324.38245
"140",300.704
"141",307.2434
"142",224.92215
"143",274.1182
"144",258.9906
"145",254.20585
"146",223.59455
"147",226.65055
"148",226.77325
"149",152.97945
"150",448.00695
"151",495.86345
"152",396.83435
"153",418.31215
"154",347.55135
"155",374.6011
"156",425.15215
"157",357.7275
"158",357.5404
"159",322.38105
"160",351.54845
"161",329.532
"162",330.2777
"163",293.7702
"164",322.56885
"165",232.8296
"166",253.1685
"167",179.7473
"168",147.54925
"169",139.07655
"170",237.5241
"171",464.41845
"172",401.72405
"173",404.50725
"174",372.41855
"175",418.54615
"176",396.48165
"177",354.78935
"178",344.02505
"179",372.4088
"180",341.27635
"181",359.45265
"182",378.9985
"183",319.2898
"184",285.0535
"185",276.9485
"186",241.69845
"187",195.63125
"188",129.35255
"189",463.02255
"190",562.2965
"191",426.1193
"192",401.2879
"193",398.6897
"194",412.0352
"195",398.79
"196",391.001
"197",379.4284
"198",322.0339
"199",363.6777
"200",362.04195
"201",374.18875
"202",349.7926
"203",358.11695
"204",286.5387
"205",259.72905
"206",162.64755
"207",152.70945
"208",397.86765
"209",452.79495
"210",471.4391
"211",438.7577
"212",402.90465
"213",429.84715
"214",426.36775
"215",377.53195
"216",407.72425
"217",283.6172
"218",367.84355
"219",354.99485
"220",369.7809
"221",414.2197
"222",384.4855
"223",366.95335
"224",321.38995
"225",247.26385
"226",240.5492
"227",200.86525
"228",128.9633
"229",377.4707
"230",418.3708
"231",374.69095
"232",437.8995
"233",414.10485
"234",419.7528
"235",393.9548
"236",372.6638
"237",339.8181
"238",347.6879
"239",358.2286
"240",391.03705
"241",393.0402
"242",394.21325
"243",446.8598
"244",381.0449
"245",359.32075
"246",276.1447
"247",227.22795
"248",197.71025
"249",182.58435
"250",157.0986
"251",119.5809
"252",292.76275
"253",364.29675
"254",413.27895
"255",364.2476
"256",422.0581
"257",374.5304
"258",364.8241
"259",298.8331
"260",396.53275
"261",427.60515
"262",426.8965
"263",450.6457
"264",452.93775
"265",378.0694
"266",400.67515
"267",272.9055
"268",216.29265
"269",206.75095
"270",170.6542
"271",159.3717
"272",226.06865
"273",278.7697
"274",341.8357
