"","x"
"1",159.7351
"2",92.50655
"3",162.02085
"4",100.26455
"5",104.98665
"6",146.0901
"7",134.3175
"8",88.12295
"9",113.7938
"10",276.614
"11",145.5166
"12",104.7371
"13",141.2476
"14",150.817
"15",75.5613
"16",93.50265
"17",130.39325
"18",141.04895
"19",306.707
"20",342.44385
"21",103.0917
"22",110.49525
"23",103.9939
"24",207.35995
"25",97.0485
"26",236.24165
"27",84.5560499999999
"28",81.1582999999999
"29",58.8824
"30",72.67785
"31",96.55185
"32",88.14145
"33",114.4241
"34",100.46345
"35",225.05385
"36",116.95015
"37",260.3757
"38",96.4069499999999
"39",47.2195
"40",95.5595
"41",117.58345
"42",188.7435
"43",261.5613
"44",99.56275
"45",204.9871
"46",148.8325
"47",156.0242
"48",169.7645
"49",171.274
"50",119.5383
"51",132.971
"52",89.06805
"53",127.8174
"54",109.7604
"55",106.66805
"56",61.85055
"57",72.7324
"58",71.21775
"59",93.53045
"60",99.5328999999999
"61",141.3849
"62",153.52175
"63",145.0572
"64",143.6229
"65",153.6361
"66",170.4142
"67",121.5664
"68",132.1291
"69",186.18905
"70",196.3318
"71",207.8914
"72",198.1171
"73",145.812446428571
"74",234.79795
"75",229.98435
"76",278.43585
"77",254.65965
"78",187.5953
"79",292.1912
"80",270.31005
"81",215.5668
"82",282.4151
"83",277.07845
"84",154.62085
"85",264.13915
"86",334.70325
"87",319.78415
"88",275.5346
"89",195.0087
"90",416.0633
"91",322.03125
"92",301.80555
"93",317.35115
"94",395.79165
"95",260.93785
"96",297.10765
"97",275.5174
"98",196.6126
"99",244.90715
"100",416.6282
"101",367.77805
"102",338.43705
"103",362.82365
"104",314.48445
"105",261.98215
"106",269.5169
"107",372.03725
"108",341.23925
"109",349.2385
"110",360.56245
"111",321.38125
"112",284.02365
"113",299.77375
"114",191.73345
"115",184.66765
"116",198.3557
"117",386.9325
"118",437.5385
"119",421.9271
"120",385.95895
"121",337.6965
"122",290.4714
"123",299.2926
"124",309.3501
"125",236.402
"126",222.42665
"127",213.4166
"128",200.37635
"129",206.747
"130",185.23855
"131",456.80605
"132",432.5349
"133",360.3948
"134",360.61585
"135",321.12335
"136",341.4875
"137",345.30045
"138",338.3139
"139",330.0137
"140",298.8686
"141",291.63005
"142",263.1995
"143",278.83745
"144",290.8845
"145",242.4446
"146",223.51085
"147",208.6352
"148",194.0027
"149",143.2658
"150",431.7065
"151",458.96535
"152",401.14355
"153",409.21655
"154",331.6453
"155",374.23635
"156",383.9747
"157",356.77615
"158",348.3105
"159",314.45055
"160",340.51575
"161",318.62215
"162",306.55975
"163",316.1996
"164",289.3193
"165",266.9851
"166",243.45815
"167",203.5877
"168",153.3298
"169",125.04835
"170",399.9592
"171",419.10285
"172",405.54175
"173",410.9486
"174",349.2135
"175",402.13265
"176",391.90445
"177",351.55845
"178",347.93785
"179",405.1898
"180",334.62275
"181",358.89695
"182",327.3235
"183",319.37485
"184",321.41625
"185",275.6562
"186",219.5322
"187",197.3066
"188",124.0303
"189",436.94985
"190",453.1676
"191",409.79945
"192",403.0536
"193",391.92275
"194",397.6622
"195",390.44055
"196",351.35145
"197",345.6798
"198",309.4369
"199",340.14755
"200",355.16295
"201",409.82045
"202",353.4393
"203",356.9872
"204",287.79495
"205",231.4921
"206",166.75005
"207",153.61175
"208",392.3083
"209",356.4578
"210",458.9578
"211",431.5468
"212",397.357
"213",410.41415
"214",413.40085
"215",360.44415
"216",353.2295
"217",328.3255
"218",367.78055
"219",312.88985
"220",368.32145
"221",416.87145
"222",374.30995
"223",373.5998
"224",394.6274
"225",291.5437
"226",223.0669
"227",164.24825
"228",129.2521
"229",288.6144
"230",400.4807
"231",397.5048
"232",488.6725
"233",409.29725
"234",431.59895
"235",381.42895
"236",375.24065
"237",292.1367
"238",341.93815
"239",354
"240",391.28055
"241",394.6963
"242",398.41295
"243",448.932
"244",508.57705
"245",357.3927
"246",271.7661
"247",219.15775
"248",188.8384
"249",204.1636
"250",154.4502
"251",115.06935
"252",310.13775
"253",447.3499
"254",408.2247
"255",363.9229
"256",371.49315
"257",358.58625
"258",310.6139
"259",365.1042
"260",392.4437
"261",396.17605
"262",437.21665
"263",441.9718
"264",459.2165
"265",412.5045
"266",332.70725
"267",273.95415
"268",237.13635
"269",182.6674
"270",166.5303
"271",160.9972
"272",220.3358
"273",418.10515
"274",334.7984
"275",330.4394
"276",331.02785
"277",426.14355
"278",433.9878
"279",425.17865
"280",434.88545
"281",456.82
"282",434.88055
"283",389.6206
"284",315.22005
"285",303.8996
"286",234.1352
"287",218.7166
"288",183.11415
"289",153.1229
"290",303.23535
"291",302.48795
"292",339.01035
"293",301.6051
"294",445.73475
"295",471.8686
"296",472.83815
"297",582.7999
"298",449.1256
"299",401.22895
"300",398.39625
"301",352.2195
"302",324.87385
"303",257.88735
"304",248.9561
"305",217.8109
"306",161.1658
"307",319.6183
"308",371.12105
"309",255.23695
"310",348.4573
"311",409.70295
"312",413.61275
"313",298.11095
"314",440.91955
"315",407.80675
"316",454.8238
"317",373.61795
"318",312.31145
"319",309.6309
"320",294.71225
"321",207.01455
"322",166.4761
"323",288.4124
"324",396.41785
