"","x"
"1",136.80375
"2",103.4607
"3",247.4511
"4",115.91275
"5",137.3086
"6",148.954
"7",144.00025
"8",80.70235
"9",182.4113
"10",274.0202
"11",77.0396
"12",176.93245
"13",149.05525
"14",159.4805
"15",67.44045
"16",111.71855
"17",223.1117
"18",178.1712
"19",164.28915
"20",338.96875
"21",115.3825
"22",156.0586
"23",95.9380499999999
"24",212.51905
"25",179.8912
"26",166.20815
"27",89.48595
"28",96.36955
"29",57.8326
"30",76.38305
"31",107.71715
"32",86.97075
"33",157.0636
"34",111.72685
"35",203.13115
"36",128.35155
"37",260.02055
"38",95.8727999999999
"39",65.26685
"40",79.07815
"41",119.3753
"42",128.7481
"43",252.19
"44",94.55095
"45",80.7796000000001
"46",138.3893
"47",156.7536
"48",145.95055
"49",161.9915
"50",107.5499
"51",95.29665
"52",100.9552
"53",110.2343
"54",149.47375
"55",110.60255
"56",58.16445
"57",76.3382
"58",70.86855
"59",88.25625
"60",108.85565
"61",131.3258
"62",150.5519
"63",152.2586
"64",112.29995
"65",155.58155
"66",176.7882
"67",121.8024
"68",153.1383
"69",189.9738
"70",199.21445
"71",201.61755
"72",210.23895
"73",147.450966666667
"74",170.4726
"75",255.6364
"76",264.77225
"77",265.79165
"78",214.0294
"79",242.2562
"80",265.5679
"81",277.5494
"82",285.70815
"83",243.35275
"84",193.7391
"85",310.77915
"86",331.1572
"87",322.29505
"88",263.95455
"89",305.59145
"90",417.9287
"91",293.92445
"92",288.37935
"93",402.8896
"94",400.43995
"95",302.75725
"96",295.5284
"97",279.2473
"98",163.3778
"99",238.32225
"100",430.43115
"101",343.78785
"102",307.001
"103",336.92875
"104",324.3422
"105",242.23555
"106",267.98655
"107",380.0675
"108",398.30645
"109",351.35075
"110",313.2349
"111",320.7217
"112",276.6338
"113",296.95345
"114",258.55875
"115",187.42035
"116",197.09545
"117",391.85745
"118",453.6921
"119",414.43675
"120",361.4587
"121",324.02435
"122",283.14935
"123",312.79825
"124",309.10255
"125",243.867
"126",222.67115
"127",213.0613
"128",204.6446
"129",222.27825
"130",176.13555
"131",446.4156
"132",434.46515
"133",374.2189
"134",355.27755
"135",258.39755
"136",311.2199
"137",342.60765
"138",353.58145
"139",322.68515
"140",274.9723
"141",287.538
"142",225.0295
"143",284.79885
"144",251.59565
"145",234.889
"146",215.2087
"147",212.96165
"148",207.83065
"149",182.64235
"150",416.40025
"151",448.31295
"152",389.7277
"153",407.5228
"154",340.5
"155",373.90865
"156",393.6598
"157",365.6362
"158",353.6344
"159",325.98915
"160",326.9069
"161",326.79355
"162",315.0856
"163",292.0156
"164",307.92395
"165",237.18345
"166",236.8586
"167",183.3607
"168",161.82305
"169",130.13425
"170",392.3781
"171",418.757
"172",405.4548
"173",393.5409
"174",368.1893
"175",395.989350000001
"176",386.90045
"177",350.77985
"178",333.013
"179",353.10355
"180",341.6802
"181",351.74665
"182",329.5402
"183",321.4652
"184",296.6435
"185",273.9441
"186",229.86485
"187",201.60985
"188",124.07795
"189",445.99875
"190",467.6059
"191",400.20655
"192",391.37935
"193",386.4364
"194",407.02855
"195",382.83095
"196",351.77155
"197",347.6769
"198",331.0858
"199",349.14075
"200",383.82585
"201",376.7392
"202",363.51265
"203",363.70455
"204",327.2642
"205",234.08675
"206",181.7269
"207",138.3863
"208",418.9938
"209",390.68285
"210",456.2894
"211",411.5235
"212",396.11955
"213",398.60675
"214",403.5814
"215",351.44985
"216",362.35595
"217",330.50975
"218",361.17105
"219",346.79945
"220",371.2678
"221",450.17225
"222",364.3689
"223",429.95235
"224",377.91385
"225",244.14215
"226",264.8623
"227",173.9779
"228",126.80255
"229",415.45115
"230",391.2021
"231",382.77365
"232",438.76385
"233",456.56315
"234",423.9764
"235",392.9589
"236",311.56205
"237",347.40845
"238",357.1677
"239",337.67045
"240",392.16595
"241",419.9313
"242",394.563
"243",437.62685
"244",417.3863
"245",365.30155
"246",283.2874
"247",222.0671
"248",208.83085
"249",190.2668
"250",149.41175
"251",101.1717
"252",301.12325
"253",438.7758
"254",446.8774
"255",380.5323
"256",407.75405
"257",311.39545
"258",359.57175
"259",354.19825
"260",398.2411
"261",422.89775
"262",425.4779
"263",443.30535
"264",429.18905
"265",512.95075
"266",345.07405
"267",274.5342
"268",205.316
"269",190.75235
"270",157.93445
"271",158.24005
"272",266.43615
"273",360.87455
"274",296.5441
"275",346.99035
"276",321.4543
"277",430.78575
"278",421.7242
"279",423.5982
"280",438.55845
"281",452.3813
"282",436.1486
"283",393.3197
"284",400.5811
"285",307.23525
"286",245.9944
"287",221.0007
"288",177.23465
"289",131.074
"290",285.83925
"291",454.40695
"292",277.9442
"293",296.5489
"294",447.30555
"295",414.2933
"296",415.29985
"297",598.31
"298",494.35895
"299",401.0095
"300",399.5476
"301",353.0943
"302",315.33425
"303",285.9017
"304",313.99965
"305",200.0869
"306",158.3135
"307",325.5383
"308",333.78745
"309",226.843
"310",342.0352
"311",403.32435
"312",412.4819
"313",371.6726
"314",403.4863
"315",413.2105
"316",394.7934
"317",371.79595
"318",343.0204
"319",310.66255
"320",292.72935
"321",214.8827
"322",160.40225
"323",296.25535
"324",260.4274
"325",359.0253
"326",532.471
"327",443.6624
"328",348.6334
"329",393.26555
"330",300.4888
"331",396.03765
"332",319.8606
"333",354.0816
"334",355.3253
"335",298.9814
"336",268.8596
"337",206.28355
"338",378.8473
"339",348.3361
"340",385.67815
"341",392.6605
"342",308.3029
"343",255.4653
"344",427.14015
"345",369.75455
"346",313.01805
"347",376.34015
"348",407.8395
"349",304.7321
"350",316.5402
"351",207.07995
"352",323.53215
"353",353.4797
"354",367.39625
"355",396.67905
"356",394.05825
"357",386.10515
"358",397.2154
"359",324.63495
"360",364.8267
"361",359.3455
"362",303.7635
"363",196.7687
"364",210.9842
"365",183.4886
"366",287.63355
"367",367.10475
"368",390.96555
"369",357.3467
"370",339.1988
"371",347.74345
"372",353.15505
"373",353.02875
"374",324.7021
"375",173.1704
"376",173.3713
"377",213.553166666667
"378",368.0782
"379",250.70145
"380",352.68925
"381",354.7857
"382",382.9502
"383",344.81385
"384",312.5108
"385",209.4962
"386",341.69835
"387",275.89965
"388",251.6226
"389",348.67325
"390",338.625
"391",276.54985
"392",201.61315
"393",324.0266
"394",376.6977
"395",299.588
"396",287.24275
"397",338.9803
"398",324.3819
"399",304.24625
"400",292.6524
"401",356.68165
"402",336.72595
"403",324.2673
"404",323.35565
"405",152.42695
"406",279.98195
"407",267.81245
"408",327.0399
"409",337.8273
"410",313.62265
"411",311.89835
"412",165.07945
"413",156.43455
"414",258.93895
"415",234.1944
"416",301.41195
"417",258.3371
"418",304.8419
"419",120.3006
"420",148.36605
"421",204.707807142857
"422",272.0009
"423",287.11235
"424",321.238183333333
"425",296.80215
"426",166.39725
"427",278.51735
"428",171.99905
"429",213.9354
"430",182.153
"431",267.455400727651
"432",273.77315
"433",247.94035
"434",281.6502
"435",203.91805
"436",313.336
"437",225.96485
"438",195.99385
"439",250.25285
"440",189.8637
"441",261.557807142857
"442",176.450531818182
"443",253.21025
"444",298.46815
"445",349.6633
"446",288.73995
"447",221.4051
"448",269.469314532101
"449",160.45176033966
"450",188.864281818182
"451",156.52725
"452",306.30515
"453",271.49435
"454",335.487716666666
"455",253.20985
"456",197.1174
"457",254.765225
"458",215.5135
"459",307.865
"460",275.7184
"461",227.3248
"462",323.79855
"463",211.40515
"464",180.82725
"465",204.781245454545
"466",180.59875
"467",307.3881
"468",220.8864
"469",250.61905
"470",288.97835
"471",301.9029
"472",143.9751
"473",229.755282975179
"474",254.7593
"475",283.9068
"476",330.594
"477",303.63835
"478",182.3999
"479",142.07705
"480",141.777814035964
"481",231.999982432433
"482",232.31415
"483",311.397975
"484",208.6253
"485",187.99965
"486",136.871
"487",163.944103742091
"488",225.573505013736
"489",201.7454
"490",212.83475
"491",213.6481
"492",143.9381
"493",141.35165
"494",129.1662
"495",167.25575
"496",186.614375430007
"497",169.39455
"498",173.1295
"499",157.7359
"500",156.6584
"501",108.9716
"502",182.799647227772
"503",290.23915
"504",163.1532125
"505",171.5219
"506",149.65775
"507",165.0602
"508",183.60125
"509",167.639914285714
"510",177.972675
"511",146.246727272727
"512",76.01445
"513",48.052
"514",64.8851
"515",78.2936
"516",67.17405
"517",90.1126
"518",52.33115
"519",58.36475
"520",29.6214
"521",46.3734
"522",59.76755
"523",56.6026499999999
"524",73.36575
"525",60.98
"526",40.2931
"527",70.5077
"528",86.0650000000001
"529",47.86605
"530",184.0112
"531",96.6778
"532",76.55965
"533",62.3822
"534",57.56855
"535",68.9438500000001
"536",86.797
"537",144.1727
"538",52.27065
"539",87.47075
"540",60.6769
"541",56.0873
"542",113.80305
"543",156.45535
"544",93.8345000000001
"545",101.8979
"546",119.60845
"547",61.74935
"548",35.82655
"549",41.8106
"550",55.64065
"551",69.3575
"552",67.6057
"553",90.51215
"554",101.34775
"555",92.78925
"556",102.2999
"557",67.6129
"558",65.3647
"559",49.6651
"560",75.25525
"561",68.05685
"562",76.3058999999999
"563",57.2937
"564",52.3638
"565",80.74645
"566",63.6031
"567",77.8438
"568",67.32045
"569",67.57205
"570",56.7384
"571",59.809
"572",68.75605
"573",66.9323499999999
"574",72.4841
"575",74.17435
"576",66.24235
"577",59.61335
"578",97.24655
"579",54.8308499999999
"580",64.758
"581",38.4864
"582",54.7948
"583",49.2406
"584",75.0483
"585",69.6026
"586",63.5077
"587",54.80795
"588",81.0669
"589",56.69825
"590",51.1026
"591",47.67695
"592",55.67495
"593",94.39185
"594",42.34085
"595",54.3115
"596",43.0754
"597",49.6265
"598",44.07355
"599",76.30885
"600",71.6187
"601",72.80865
"602",84.0057999999999
"603",66.7515
"604",71.9341
"605",97.92125
"606",80.52655
"607",72.89385
"608",53.0434
"609",144.7035
"610",75.51175
"611",48.084
"612",29.79135
"613",79.78535
"614",52.6623666666666
"615",58.4305
"616",68.45035
"617",84.4438500000001
"618",61.94655
"619",71.36555
"620",62.8257
"621",89.6784
"622",80.43965
"623",73.8242
"624",76.17155
"625",66.7369
"626",120.6983
"627",194.32285
"628",221.5438
"629",98.9345
"630",120.23075
"631",89.6517
"632",130.3265
"633",109.387825
"634",52.4445
"635",73.8162
"636",74.7676
"637",49.24835
"638",87.87685
"639",107.6925
"640",66.18055
"641",98.885
"642",56.6479
"643",74.1441
"644",83.0008999999999
"645",82.1772
"646",223.68305
"647",98.55705
"648",89.35075
"649",115.8328
"650",105.62045
"651",105.86875
"652",58.4459
"653",55.8142
"654",57.6559
"655",66.733
"656",63.1886
"657",108.4775
"658",122.87175
"659",154.3145
"660",86.1903499999999
"661",93.9109499999999
"662",60.0578
"663",60.912
"664",102.8764
"665",95.67355
"666",121.06185
"667",114.0985
"668",111.18405
"669",61.94355
"670",102.0939
"671",110.65045
"672",58.01345
"673",100.80175
"674",75.2450000000001
"675",122.5491
"676",107.25415
"677",82.7184
"678",86.0419000000001
"679",144.6555
"680",92.98175
"681",98.2261499999999
"682",121.20605
"683",124.26955
"684",107.5203
"685",47.6399
"686",102.08145
"687",91.7074500000001
"688",149.12235
"689",103.171
"690",122.175
"691",141.962
"692",108.44325
"693",127.7582
"694",93.7605500000001
"695",138.4555
"696",114.2932
"697",98.28975
"698",85.09235
"699",79.7506
"700",124.70015
"701",124.01445
"702",113.1214
"703",99.8819
"704",87.4792
"705",75.6841
"706",113.74905
"707",108.6026
"708",92.7704000000001
"709",88.15465
"710",101.33865
"711",70.2826
"712",89.9528
"713",117.50145
"714",117.6562
"715",155.1937
"716",73.43545
"717",113.514
"718",79.1315500000001
"719",107.8565
"720",162.09775
"721",72.7109
"722",118.5992
"723",148.1648
"724",97.95895
"725",169.9109
"726",149.81655
"727",170.08975
"728",111.09125
"729",103.00505
"730",158.08335
"731",265.37205
"732",86.3878
"733",45.6366
"734",57.32345
"735",72.5421
"736",75.3775999999999
"737",64.97235
"738",150.89745
"739",148.74515
"740",172.8141
"741",124.08345
"742",104.14045
"743",83.5278499999999
"744",136.72865
"745",161.83745
"746",168.68975
"747",84.3206
"748",43.34685
"749",54.75395
"750",71.9447499999999
"751",69.6112
"752",64.1068
"753",96.81015
"754",66.835
"755",134.93355
"756",114.51075
"757",123.63915
"758",63.4761
"759",90.47165
"760",133.2492
"761",179.64125
"762",196.8982
"763",119.7074
"764",177.5097
"765",78.55695
"766",130.45925
"767",117.40075
"768",130.3409
"769",64.2562
"770",66.16135
"771",75.4545
"772",62.50865
"773",79.94765
"774",105.18875
"775",99.83655
"776",121.14505
"777",72.7959500000001
"778",85.3185
"779",136.65975
"780",148.1477
"781",124.60565
"782",138.59315
"783",148.5575
"784",142.7975
"785",201.2191
"786",218.57075
"787",166.2286
"788",148.92745
"789",135.77455
"790",116.02245
"791",82.587
"792",52.58895
"793",83.74925
"794",95.0807499999999
"795",121.3258
"796",168.85605
"797",185.174
"798",165.9506
"799",112.37065
"800",68.10945
"801",89.27605
"802",87.7127500000001
"803",113.697
"804",134.5821
"805",151.41825
"806",113.6371
"807",136.49125
"808",203.71055
"809",200.80435
"810",197.14125
"811",214.21385
"812",120.25545
"813",203.54035
"814",184.07605
"815",184.7488
"816",94.85865
"817",79.73565
"818",50.68965
"819",44.55415
"820",112.6552
"821",134.48835
"822",169.96565
"823",279.47485
"824",280.92465
"825",189.12965
"826",191.1042
"827",125.4945
"828",143.3395
"829",167.7224
"830",106.16625
"831",155.66885
"832",75.6582999999999
"833",84.33165
"834",115.51455
"835",131.3134
"836",137.16625
"837",135.92485
"838",197.07335
"839",159.9077
"840",234.02225
"841",233.881
"842",220.7982
"843",235.94055
"844",187.4593
"845",311.5096
"846",394.9258
"847",182.2436
"848",178.47955
"849",169.61505
"850",122.8744
"851",71.11435
"852",84.1999000000001
"853",122.88305
"854",180.44795
"855",214.7931
"856",281.1698
"857",205.6472
"858",168.8255
"859",266.60495
"860",152.43935
"861",131.662
"862",144.15
"863",85.944
"864",53.3421
"865",85.6761999999999
"866",72.06465
"867",85.08575
"868",131.7243
"869",167.64745
"870",188.04945
"871",219.4839
"872",208.05895
"873",180.84595
"874",184.03165
"875",178.7723
"876",215.1015
"877",286.7934
"878",166.47
"879",181.46035
"880",224.218
"881",42.61585
"882",68.4121
"883",77.59415
"884",61.2545
"885",127.65865
"886",145.51395
"887",167.9956
"888",189.2481
"889",218.5706
"890",226.2005
"891",233.2648
"892",207.949
"893",229.15225
"894",145.0603
"895",144.66235
"896",165.8723
"897",146.0883
"898",80.4355
"899",111.37215
"900",124.7214
"901",123.2156
"902",159.8747
"903",211.894
"904",215.7981
"905",259.4191
"906",252.27895
"907",260.09905
"908",255.55805
"909",293.7175
"910",243.54565
"911",287.00395
"912",186.19615
"913",95.52725
"914",103.77345
"915",103.8583
"916",91.4466999999999
"917",176.4583
"918",125.8689
"919",226.73535
"920",176.1821
"921",316.71585
"922",356.5246
"923",265.85735
"924",193.42205
"925",237.379
"926",168.10605
"927",119.5246
"928",156.4953
"929",104.00845
"930",106.17435
"931",142.6783
"932",141.66865
"933",189.8943
"934",228.3595
"935",240.84665
"936",285.13685
"937",274.5187
"938",357.17705
"939",361.4364
"940",266.7321
"941",228.51635
"942",262.30745
"943",185.27545
"944",168.16565
"945",173.44245
"946",151.72475
"947",156.5223
"948",158.739
"949",257.9886
"950",186.7339
"951",254.06395
"952",167.6872
"953",179.38625
"954",161.9582
"955",216.03165
"956",239.7212
"957",241.51395
"958",230.13915
"959",189.1638
"960",173.92015
"961",194.9459
"962",214.50465
"963",167.2762
"964",155.73975
"965",128.471585714286
"966",154.0123
"967",209.6328
"968",216.40755
"969",262.0192
"970",262.0471
"971",289.2847
"972",290.18785
"973",315.24225
"974",244.22085
"975",213.81065
"976",269.1232
"977",229.81475
"978",259.1527
"979",207.68935
"980",188.01485
"981",211.39765
"982",195.2154
"983",222.08875
"984",189.9311
"985",260.29895
"986",253.5292
"987",192.9038
"988",195.61875
"989",168.96435
"990",171.08825
"991",161.02895
"992",164.48005
"993",271.83175
"994",183.68645
"995",232.90105
"996",294.3725
"997",272.4562
"998",200.9788
"999",188.3311
"1000",201.865
"1001",202.49025
"1002",248.1698
"1003",205.7687
"1004",131.2997
"1005",181.1484
"1006",194.4274
"1007",228.46795
"1008",244.42675
"1009",270.60655
"1010",301.1311
"1011",289.3368
"1012",268.69295
"1013",260.2423
"1014",210.12755
"1015",259.34885
"1016",276.72925
"1017",266.94485
"1018",220.2104
"1019",196.04635
"1020",285.01765
"1021",195.64375
"1022",210.1946
"1023",173.48455
"1024",175.8606
"1025",177.69165
"1026",255.85575
"1027",266.87855
"1028",287.5016
"1029",224.9193
"1030",218.1501
"1031",215.3804
"1032",218.3262
"1033",233.03715
"1034",229.1568
"1035",239.5538
"1036",236.30925
"1037",170.79095
"1038",282.771
"1039",283.61125
"1040",328.695
"1041",265.68045
"1042",229.50285
