"","x"
"1",132.19575
"2",147.49225
"3",255.6185
"4",111.55565
"5",96.0817000000001
"6",145.54685
"7",261.4658
"8",78.83295
"9",109.4416
"10",270.2677
"11",72.98665
"12",139.2083
"13",155.8565
"14",138.16965
"15",76.9739
"16",109.97545
"17",153.35215
"18",128.32165
"19",291.3099
"20",343.78085
"21",102.9693
"22",97.6706
"23",103.37415
"24",221.14635
"25",184.4537
"26",298.55365
"27",86.36155
"28",155.22225
"29",59.1871
"30",78.0834499999999
"31",96.49205
"32",94.0642
"33",119.23455
"34",161.28005
"35",145.4667
"36",125.2923
"37",256.66495
"38",164.9875
"39",46.88295
"40",93.4744
"41",101.8793
"42",119.25635
"43",125.148
"44",167.4904
"45",166.20035
"46",159.50975
"47",151.0367
"48",165.45195
"49",179.6456
"50",97.0848
"51",101.34855
"52",91.70125
"53",102.6376
"54",103.46535
"55",100.9044
"56",58.41405
"57",72.8842999999999
"58",71.87945
"59",86.44475
"60",108.4707
"61",124.5888
"62",156.15885
"63",153.0528
"64",120.84015
"65",144.87735
"66",171.9006
"67",120.83025
"68",133.24805
"69",188.30875
"70",196.85015
"71",208.244
"72",192.5171
"73",163.605014285714
"74",171.0128
"75",238.99985
"76",280.0565
"77",261.1093
"78",208.03495
"79",258.63635
"80",268.67415
"81",280.5549
"82",285.2818
"83",274.59335
"84",274.9103
"85",309.75485
"86",333.18425
"87",317.7834
"88",249.65865
"89",309.9985
"90",405.25005
"91",314.2648
"92",304.3422
"93",387.28805
"94",372.1617
"95",314.5191
"96",306.0403
"97",284.00455
"98",250.2914
"99",251.1757
"100",433.45405
"101",379.88635
"102",358.40455
"103",354.66585
"104",321.9249
"105",243.93415
"106",258.80635
"107",356.99315
"108",398.09325
"109",295.30935
"110",344.5376
"111",310.2151
"112",282.43125
"113",302.95635
"114",199.9344
"115",183.16875
"116",210.4542
"117",388.3429
"118",437.1243
"119",422.0951
"120",327.99375
"121",349.7397
"122",300.4656
"123",303.05
"124",312.8568
"125",236.2641
"126",196.0728
"127",214.7759
"128",197.68015
"129",206.98885
"130",223.8077
"131",443.919
"132",442.05015
"133",387.83805
"134",346.2586
"135",324.52115
"136",332.546
"137",354.45705
"138",341.98145
"139",320.06255
"140",304.5402
"141",273.81485
"142",256.90325
"143",269.284
"144",273.66125
"145",238.32755
"146",261.76105
"147",223.1693
"148",198.5128
"149",140.55155
"150",444.7454
"151",442.52785
"152",328.3063
"153",420.93825
"154",346.8923
"155",377.1712
"156",371.69925
"157",348.02815
"158",349.2787
"159",313.8414
"160",343.66525
"161",321.8887
"162",312.7587
"163",290.75575
"164",306.41745
"165",241.07565
"166",284.4977
"167",182.0991
"168",152.7892
"169",122.2846
"170",411.0713
"171",421.90765
"172",411.815699999999
"173",395.64005
"174",314.2106
"175",392.7119
"176",379.5953
"177",344.30185
"178",348.8839
"179",411.7872
"180",335.1207
"181",364.9182
"182",330.5178
"183",318.0104
"184",287.1924
"185",278.12845
"186",215.43695
"187",195.59865
"188",128.27495
"189",442.3635
"190",447.3799
"191",394.02715
"192",396.64835
"193",392.0436
"194",399.03575
"195",389.48155
"196",347.4328
"197",362.11325
"198",308.8018
"199",333.97105
"200",357.9039
"201",382.7315
"202",337.362
"203",306.89075
"204",316.9456
"205",224.73835
"206",185.5372
"207",138.7348
"208",402.03305
"209",455.03015
"210",470.9023
"211",419.9736
"212",395.95695
"213",385.87055
"214",411.5096
"215",370.2436
"216",365.1064
"217",345.58625
"218",358.40465
"219",346.36445
"220",367.8733
"221",412.82385
"222",434.8687
"223",375.08885
"224",307.10555
"225",243.85395
"226",232.5434
"227",170.8726
"228",129.9965
"229",395.1193
"230",416.4536
"231",377.3143
"232",491.75875
"233",416.26595
"234",423.75715
"235",398.35135
"236",378.87705
"237",357.6139
"238",353.04805
"239",331.2813
"240",380.223
"241",397.75125
"242",395.20235
"243",436.8826
"244",395.27265
"245",430.8286
"246",257.45375
"247",213.98925
"248",180.28855
"249",190.99315
"250",137.84835
"251",120.0055
"252",313.7268
"253",355.45985
"254",422.40585
"255",379.69325
"256",418.0284
"257",348.74325
"258",295.9681
"259",354.5949
"260",392.67175
"261",441.84695
"262",420.6717
"263",437.8942
"264",464.4234
"265",386.69635
"266",329.34415
"267",272.02855
"268",234.72785
"269",178.6984
"270",159.44805
"271",126.90525
"272",213.84735
"273",398.0163
"274",261.8844
"275",340.36287
"276",289.97305
"277",365.4051
"278",402.82005
"279",424.27885
"280",427.3429
"281",452.3045
"282",418.58435
"283",462.3213
"284",317.8104
"285",299.0574
"286",246.2196
"287",265.75185
"288",182.057
"289",157.16065
"290",289.612925
"291",298.2472
"292",303.79135
"293",300.70255
"294",424.909
"295",433.73765
"296",412.4469
"297",462.707
