"","x"
"1",220.910466666667
"2",107.751366666667
"3",247.9087
"4",143.5874
"5",103.2184
"6",136.0242
"7",127.72505
"8",91.26955
"9",116.37875
"10",264.94025
"11",166.44935
"12",151.989878571429
"13",237.38645
"14",204.51595
"15",82.9517499999999
"16",100.58245
"17",166.2882
"18",162.95745
"19",297.1816
"20",321.6234
"21",145.53655
"22",111.31935
"23",117.347
"24",176.7489
"25",131.9551
"26",267.2077
"27",132.0259
"28",197.4707
"29",71.3823
"30",83.91445
"31",151.6165
"32",144.0609
"33",132.90945
"34",122.89195
"35",144.2604
"36",149.66335
"37",258.9366
"38",205.55875
"39",74.97295
"40",103.894978571429
"41",141
"42",196.51545
"43",133.3228
"44",130.23545
"45",83.6106
"46",141.28695
"47",125.83105
"48",149.25705
"49",157.885445238095
"50",122.54295
"51",117.32185
"52",143.78595
"53",111.90145
"54",151.67395
"55",117.7108
"56",67.8645
"57",83.87115
"58",113.10965
"59",102.90925
"60",121.89665
"61",128.75655
"62",157.73745
"63",152.50785
"64",147.9757
"65",153.69795
"66",161.912707142857
"67",130.866
"68",132.26785
"69",196.12425
"70",175.561892857143
"71",181.484
"72",173.9438
"73",135.769589177489
"74",141.765
"75",234.17135
"76",235.6507
"77",180.46535
"78",205.395
"79",229.50205
"80",260.46995
"81",197.6658
"82",224.3959
"83",246.24325
"84",266.3412
"85",283.75045
"86",321.57125
"87",308.04565
"88",255.33765
"89",285.325435227273
"90",411.74325
"91",305.7633
"92",296.5875
"93",369.40885
"94",372.04755
"95",321.77305
"96",281.50455
"97",257.9829
"98",242.4669
"99",228.70765
"100",417.5019
"101",364.7832
"102",333.62785
"103",283.17415
"104",286.0355
"105",243.091
"106",262.28815
"107",359.0361
"108",322.5102
"109",347.66445
"110",343.5731
"111",312.09465
"112",269.92465
"113",285.6596
"114",206.4881
"115",177.8462
"116",184.62775
"117",365.55855
"118",426.41535
"119",420.6716
"120",354.529
"121",333.5751
"122",281.18285
"123",297.37315
"124",287.1207
"125",219.20555
"126",191.5251
"127",171.32
"128",186.3842
"129",196.02775
"130",158.0846
"131",411.5256
"132",428.1826
"133",407.95535
"134",378.866
"135",327.29185
"136",302.42175
"137",266.81605
"138",312.2363
"139",302.50965
"140",256.9889
"141",263.26865
"142",243.83835
"143",227.52405
"144",265.12895
"145",227.9545
"146",206.7633
"147",191.928
"148",187.3639
"149",140.21865
"150",418.87005
"151",434.38655
"152",357.22255
"153",414.11405
"154",331.02535
"155",309.4249
"156",386.1496
"157",362.39785
"158",328.9443
"159",275.62875
"160",299.17485
"161",297.1553
"162",271.4361
"163",291.6745
"164",276.73175
"165",232.7221
"166",248.7976
"167",189.042
"168",156.07495
"169",116.76885
"170",274.69865
"171",394.8458
"172",383.4125
"173",377.468
"174",270.3895
"175",377.65765
"176",349.66585
"177",320.7587
"178",320.053
"179",330.59
"180",311.98575
"181",326.7211
"182",301.9631
"183",307.71085
"184",281.28375
"185",275.7164
"186",211.29645
"187",193.65655
"188",108.8085
"189",429.9662
"190",420.4861
"191",313.37445
"192",366.832907142857
"193",340.1209
"194",371.82825
"195",340.1954
"196",337.8626
"197",333.9076
"198",303.1586
"199",335.83175
"200",333.74165
"201",348.33525
"202",327.6746
"203",312.95525
"204",280.25405
"205",227.67205
"206",179.48175
"207",147.614
"208",384.6183
"209",441.4664
"210",423.25915
"211",402.64705
"212",379.4929
"213",375.84195
"214",391.8726
"215",345.9006
"216",347.96045
"217",233.45705
"218",353.36765
"219",331.9456
"220",354.59295
"221",404.1816
"222",362.79445
"223",371.6766
"224",309.5393
"225",246.32965
"226",205.93615
"227",164.5643
"228",123.123
"229",362.407385059793
"230",400.8478
"231",368.83655
"232",414.06685
"233",395.8592
"234",399.7279
"235",367.3222
"236",351.96255
"237",334.53035
"238",326.18225
"239",259.12535
"240",364.3922
"241",376.88405
"242",374.636
"243",420.81405
"244",497.0499
"245",354.50345
"246",260.13875
"247",218.26715
"248",214.11165
"249",195.48315
"250",140.7301
"251",118.67545
"252",288.4682
"253",280.4302
"254",414.165
"255",358.04395
"256",386.4079
"257",367.87025
"258",365.8079
"259",343.893978213166
"260",369.7805
"261",360.10225
"262",416.9124
"263",408.5883
"264",432.6429
"265",396.16115
"266",411.3333
"267",270.4157
"268",215.80625
"269",182.9389
"270",157.03635
"271",131.68795
"272",223.50815
"273",257.21375
"274",333.6894
"275",354.28905
"276",358.6149
