"","Parameter","NodePurity"
"1","NLCD",32954487.4001928
"2","NLCD_Purity",77852856.4215247
"3","Ppt",200398629.027379
"4","Ant_SM",210940530.915031
"5","Peak_SM",197096803.472831
"6","LAI",93374347.7786101
"7","Mean_Slope",96886423.2375807
