"","Parameter","NodePurity"
"1","NLCD",33721876.4912356
"2","NLCD_Purity",78366391.2573211
"3","Ppt",197629384.208839
"4","Ant_SM",211085594.617216
"5","Peak_SM",197385539.009546
"6","LAI",93337715.4671569
"7","Mean_Slope",97720065.7195236
