"","Parameter","NodePurity"
"1","NLCD",30925593.6423074
"2","NLCD_Purity",66888409.7946154
"3","Ppt",194770191.338433
"4","Ant_SM",232788954.017335
"5","Peak_SM",224419901.42532
"6","LAI",84397663.2356887
"7","Mean_Slope",89651161.9452023
