"","Parameter","NodePurity"
"1","NLCD",33309746.2496032
"2","NLCD_Purity",77156281.8307283
"3","Ppt",199637904.656683
"4","Ant_SM",210846424.539285
"5","Peak_SM",197969786.034297
"6","LAI",93644056.3019715
"7","Mean_Slope",96858221.1180067
