"","Parameter","NodePurity"
"1","NLCD",32507580.0060908
"2","NLCD_Purity",78436607.1840343
"3","Ppt",200942480.070765
"4","Ant_SM",210263268.371568
"5","Peak_SM",196326196.741354
"6","LAI",93745144.9267437
"7","Mean_Slope",96837783.4694557
