"","Parameter","NodePurity"
"1","NLCD",30028237.9208293
"2","NLCD_Purity",59237678.6907474
"3","Ppt",184983320.841181
"4","Ant_SM",249389765.047854
"5","Peak_SM",244308090.349882
"6","LAI",79519435.8377335
"7","Mean_Slope",82817661.8906744
