"","Parameter","NodePurity"
"1","NLCD",29773017.6573369
"2","NLCD_Purity",59713212.6378377
"3","Ppt",183114221.803352
"4","Ant_SM",249166892.148492
"5","Peak_SM",245480340.812943
"6","LAI",78742566.1245634
"7","Mean_Slope",84045488.6491075
