"","Parameter","NodePurity"
"1","NLCD",29848283.7272457
"2","NLCD_Purity",58926302.6533048
"3","Ppt",184947528.202837
"4","Ant_SM",249579020.071352
"5","Peak_SM",242812357.508732
"6","LAI",79971195.136731
"7","Mean_Slope",84313947.4148358
