"","Parameter","NodePurity"
"1","NLCD",30823589.7603837
"2","NLCD_Purity",67256923.4252812
"3","Ppt",194276550.162479
"4","Ant_SM",231773116.886687
"5","Peak_SM",222304275.076338
"6","LAI",86903568.0033669
"7","Mean_Slope",90015371.1368859
