"","Parameter","NodePurity"
"1","NLCD",30857104.1743798
"2","NLCD_Purity",67650466.5600862
"3","Ppt",195003027.814131
"4","Ant_SM",233184143.610164
"5","Peak_SM",223216700.080635
"6","LAI",84870898.1985409
"7","Mean_Slope",88506918.433518
