"","Parameter","NodePurity"
"1","NLCD",33530955.6354196
"2","NLCD_Purity",78308585.6006411
"3","Ppt",203888423.177858
"4","Ant_SM",208287243.166514
"5","Peak_SM",194229417.638725
"6","LAI",93420041.5560083
"7","Mean_Slope",97511560.369
