"","Parameter","NodePurity"
"1","NLCD",28027706.7986858
"2","NLCD_Purity",51377849.0869967
"3","Ppt",179271550.504223
"4","Ant_SM",264339257.07641
"5","Peak_SM",261209405.076475
"6","LAI",74439357.181647
"7","Mean_Slope",76247391.8447898
