"","Parameter","NodePurity"
"1","NLCD",27742360.3767551
"2","NLCD_Purity",52049461.1146419
"3","Ppt",178455646.580633
"4","Ant_SM",263363013.495183
"5","Peak_SM",259473874.514195
"6","LAI",75706640.151349
"7","Mean_Slope",78026562.4012344
