"","Parameter","NodePurity"
"1","NLCD",31143289.5750695
"2","NLCD_Purity",67223981.7877616
"3","Ppt",190277732.953756
"4","Ant_SM",234677600.857657
"5","Peak_SM",223496421.257567
"6","LAI",85858930.7312066
"7","Mean_Slope",90370642.3717863
