"","Parameter","NodePurity"
"1","NLCD",29362185.5390833
"2","NLCD_Purity",59550329.6935283
"3","Ppt",185636393.365876
"4","Ant_SM",248701910.221376
"5","Peak_SM",243683478.601116
"6","LAI",79738593.2907844
"7","Mean_Slope",83840413.4021774
