"","Parameter","NodePurity"
"1","NLCD",29090998.5133738
"2","NLCD_Purity",59052095.9707389
"3","Ppt",185625237.463024
"4","Ant_SM",249828927.11097
"5","Peak_SM",245404389.565955
"6","LAI",78456457.2382253
"7","Mean_Slope",83068912.8544293
