"","Parameter","NodePurity"
"1","NLCD",31077356.9264892
"2","NLCD_Purity",68101736.9330803
"3","Ppt",188848008.635802
"4","Ant_SM",232539492.524854
"5","Peak_SM",225015374.532537
"6","LAI",86699802.5874046
"7","Mean_Slope",90849148.8060902
