"","Parameter","NodePurity"
"1","NLCD",34125565.3733553
"2","NLCD_Purity",77264702.5840639
"3","Ppt",201327158.091338
"4","Ant_SM",209651156.839884
"5","Peak_SM",195782062.61917
"6","LAI",93687776.9001488
"7","Mean_Slope",97579712.3505473
