"","Parameter","NodePurity"
"1","NLCD",26574625.9082592
"2","NLCD_Purity",43223118.9025216
"3","Ppt",172780318.845007
"4","Ant_SM",274991209.376675
"5","Peak_SM",285528638.592915
"6","LAI",71029592.9381931
"7","Mean_Slope",65206156.5903427
