"","Parameter","NodePurity"
"1","NLCD",29429150.9146355
"2","NLCD_Purity",59855974.4471713
"3","Ppt",184276039.435095
"4","Ant_SM",249207592.296303
"5","Peak_SM",244371064.426562
"6","LAI",79254837.8504541
"7","Mean_Slope",83652572.4154593
