"","Parameter","NodePurity"
"1","NLCD",31814279.3291179
"2","NLCD_Purity",66772367.397986
"3","Ppt",194557554.520374
"4","Ant_SM",230906259.216914
"5","Peak_SM",222250345.832859
"6","LAI",86794757.1677065
"7","Mean_Slope",90179381.0369484
