"","Parameter","NodePurity"
"1","NLCD",29583605.9258159
"2","NLCD_Purity",59461834.6523848
"3","Ppt",187061519.754827
"4","Ant_SM",248490009.392572
"5","Peak_SM",242877469.414811
"6","LAI",79970044.9906239
"7","Mean_Slope",83024498.949917
