"","Parameter","NodePurity"
"1","NLCD",29262563.2883814
"2","NLCD_Purity",59875537.4627742
"3","Ppt",183336911.853202
"4","Ant_SM",250139510.626558
"5","Peak_SM",243093888.736159
"6","LAI",80230321.4279194
"7","Mean_Slope",84680196.0230662
