"","Parameter","NodePurity"
"1","NLCD",28886244.3766009
"2","NLCD_Purity",58540338.7856459
"3","Ppt",183612252.665674
"4","Ant_SM",251570214.233228
"5","Peak_SM",244664837.265223
"6","LAI",80671030.4926178
"7","Mean_Slope",82398010.7166656
