"","Parameter","NodePurity"
"1","NLCD",31152568.8852332
"2","NLCD_Purity",67428725.8513827
"3","Ppt",190932166.913687
"4","Ant_SM",233854232.256916
"5","Peak_SM",224987530.174773
"6","LAI",84761276.8556031
"7","Mean_Slope",90009167.7206879
