"","Cell_ID","mean.MCD15A2H.006_Lai_500m_doy2018145_aid0001"
"1","x-99.8495864868164y27.7754726409912",8.65513242669657
"2","x-99.8495864868164y27.855073928833",7.77819522870641
"3","x-99.8495864868164y27.9347343444824",6.22300371507398
"4","x-99.8495864868164y28.0144519805908",5.74966047377813
"5","x-99.8495864868164y28.0942268371582",6.64083477807423
"6","x-99.8495864868164y28.1740608215332",7.52202068272632
"7","x-99.8495864868164y28.2539520263672",6.6742177480743
"8","x-99.8495864868164y28.3339023590088",6.98615245862342
"9","x-99.8495864868164y28.413911819458",7.6546517986289
"10","x-99.8495864868164y28.4939804077148",10.7967267047791
"11","x-99.8495864868164y28.5741100311279",10.3299442072845
"12","x-99.8495864868164y28.654296875",10.8569891890701
"13","x-99.8495864868164y28.7345447540283",10.0648809820076
"14","x-99.8495864868164y28.8148536682129",10.0644111826306
"15","x-99.8495864868164y28.8952236175537",9.81350890849453
"16","x-99.8495864868164y28.9756526947021",9.32195599495419
"17","x-99.8495864868164y29.0561447143555",9.04449479806991
"18","x-99.8495864868164y29.136697769165",9.24993868587779
"19","x-99.8495864868164y29.2173118591309",13.7590471308788
"20","x-99.8495864868164y29.2979888916016",11.4729211692637
"21","x-99.8495864868164y29.3787288665771",12.2291992936816
"22","x-99.8495864868164y29.4595317840576",13.7873253725013
"23","x-99.8495864868164y29.540397644043",16.7211977575912
"24","x-99.8495864868164y29.6213264465332",17.0748958792005
"25","x-99.8495864868164y29.7023181915283",16.9666121260109
"26","x-99.8495864868164y29.783374786377",14.8438525470206
"27","x-99.8495864868164y29.8644962310791",13.1551207868961
"28","x-99.8495864868164y29.9456825256348",10.1749078557605
"29","x-99.8495864868164y30.0269336700439",9.25496736513514
"30","x-99.8495864868164y30.1082496643066",8.51176072572635
"31","x-99.8495864868164y30.1896305084229",10.2895347810927
"32","x-99.8495864868164y30.2710781097412",9.66543306082555
"33","x-99.8495864868164y30.3525924682617",9.48066063100248
"34","x-99.8495864868164y30.4341716766357",9.76111679877283
"35","x-99.8495864868164y30.5158195495605",10.8091849610919
"36","x-99.8495864868164y30.5975341796875",10.5293056018769
"37","x-99.8495864868164y30.6793174743652",9.71315291571239
"38","x-99.8495864868164y30.8430862426758",9.89005644899918
"39","x-99.8495864868164y30.9250736236572",10.3724301958841
"40","x-99.8495864868164y31.0071296691895",10.6326810854092
"41","x-99.8495864868164y31.0892543792725",11.0406633013771
"42","x-99.8495864868164y31.1714496612549",10.1214213436153
"43","x-99.8495864868164y31.3360500335693",8.50260729619435
