OBJECTID,Cell_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
58,x-99.8495864868164y32.3296890258789,58,90161,81144900.000000000000000,11,95,84,55.897405751932652,16.631226577973340,5039766.000000000000000,14,52,95,52
59,x-99.8495864868164y32.412971496582,59,90166,81149400.000000000000000,11,95,84,51.169498480580266,21.717267161227369,4613749.000000000000000,15,52,95,52
60,x-99.8495864868164y32.4963302612305,60,90155,81139500.000000000000000,11,95,84,56.182152958793189,16.143486405889817,5065102.000000000000000,15,52,31,52
61,x-99.8495864868164y32.5797653198242,61,90161,81144900.000000000000000,11,95,84,68.590188662503749,18.024001182771791,6184160.000000000000000,15,82,95,82
62,x-99.8495864868164y32.663272857666,62,90169,81152100.000000000000000,11,90,79,58.932593241579703,15.958654082604495,5313893.000000000000000,14,52,11,52
63,x-99.8495864868164y32.7468605041504,63,90156,81140400.000000000000000,11,95,84,68.768723102178441,19.074047184110437,6199913.000000000000000,15,82,90,82
64,x-99.8495864868164y32.8305244445801,64,90159,81143100.000000000000000,11,95,84,73.963697467806881,15.716897440600507,6668493.000000000000000,14,82,31,82
65,x-99.8495864868164y32.9142646789551,65,90166,81149400.000000000000000,11,95,84,71.067941352616288,18.224137232359489,6407912.000000000000000,15,82,31,82
66,x-99.8495864868164y32.9980850219727,66,90163,81146700.000000000000000,11,95,84,66.112041524793980,16.177176270661750,5960860.000000000000000,15,82,31,71
67,x-99.8495864868164y33.0819816589355,67,90160,81144000.000000000000000,11,95,84,72.618833185448096,15.280503850616133,6547314.000000000000000,12,82,95,82
68,x-99.8495864868164y33.165958404541,68,90158,81142200.000000000000000,11,95,84,74.760010204307989,16.376226595208749,6740213.000000000000000,14,82,11,82
69,x-99.8495864868164y33.2500114440918,69,90163,81146700.000000000000000,21,90,69,71.887603562436922,16.495139474476073,6481602.000000000000000,10,82,81,82
70,x-99.8495864868164y33.3341484069824,70,90165,81148500.000000000000000,11,90,79,77.345954638717913,14.608283918422838,6973898.000000000000000,12,82,90,82
71,x-99.8495864868164y33.4183616638184,71,90153,81137700.000000000000000,11,95,84,71.859827182678330,18.538202268042767,6478379.000000000000000,14,82,95,82
72,x-99.8495864868164y33.5026550292969,72,90169,81152100.000000000000000,11,95,84,61.879459681265182,15.587507409543523,5579609.000000000000000,14,52,24,52
73,x-99.8495864868164y33.587028503418,73,90163,81146700.000000000000000,11,95,84,66.679469405410202,16.483949166539748,6012021.000000000000000,15,82,24,82
74,x-99.8495864868164y33.6714859008789,74,90152,81136800.000000000000000,11,95,84,51.983616558700859,4.516405058389521,4686427.000000000000000,11,52,22,52
75,x-99.8495864868164y33.7560234069824,75,90165,81148500.000000000000000,11,95,84,57.486663339433264,20.113189163730414,5183285.000000000000000,14,52,24,52
76,x-99.8495864868164y33.8406410217285,76,90159,81143100.000000000000000,11,95,84,55.148404485409110,12.139818638463087,4972125.000000000000000,14,52,24,52
77,x-99.8495864868164y33.9253425598145,77,90159,81143100.000000000000000,11,95,84,62.017768608791137,15.725441700751471,5591460.000000000000000,12,52,95,52
78,x-99.8495864868164y34.0101280212402,78,90160,81144000.000000000000000,11,95,84,51.824844720496891,5.546410171652905,4672528.000000000000000,12,52,71,52
79,x-99.8495864868164y34.0949935913086,79,90162,81145800.000000000000000,11,95,84,51.892038774650075,1.659233793164214,4678690.000000000000000,11,52,21,52
80,x-99.8495864868164y34.1799468994141,80,90165,81148500.000000000000000,11,95,84,50.628303665502138,7.780121016158452,4564901.000000000000000,12,52,71,52
81,x-99.8495864868164y34.2649803161621,81,90157,81141300.000000000000000,11,95,84,59.347638009250531,14.961061493770304,5350605.000000000000000,13,52,23,52
82,x-99.8495864868164y34.3501014709473,82,90165,81148500.000000000000000,11,95,84,62.518870958797763,17.378159686941753,5637014.000000000000000,12,52,71,52
83,x-99.8495864868164y34.4353065490723,83,90161,81144900.000000000000000,11,95,84,59.984450039374011,15.497614101695754,5408258.000000000000000,13,52,23,52
84,x-99.8495864868164y34.5205955505371,84,90162,81145800.000000000000000,11,95,84,55.953162086022935,14.107687759655343,5044849.000000000000000,13,52,23,52
85,x-99.7562255859375y27.6959266662598,85,32527,29274300.000000000000000,11,95,84,51.834783410704951,14.622968953598201,1686030.000000000000000,14,52,42,52
86,x-99.7562255859375y27.7754726409912,86,89827,80844300.000000000000000,11,95,84,52.062097142284614,6.532116622138076,4676582.000000000000000,13,52,42,52
87,x-99.7562255859375y27.855073928833,87,90155,81139500.000000000000000,11,95,84,51.425489434862179,6.843017574629606,4636265.000000000000000,10,52,24,52
88,x-99.7562255859375y27.9347343444824,88,90162,81145800.000000000000000,11,95,84,51.626217253388347,6.441113689482576,4654723.000000000000000,12,52,42,52
89,x-99.7562255859375y28.0144519805908,89,90163,81146700.000000000000000,11,95,84,52.548495502589752,5.748177423027262,4737930.000000000000000,10,52,24,52
90,x-99.7562255859375y28.0942268371582,90,90163,81146700.000000000000000,11,95,84,52.336479487151045,6.934374873589430,4718814.000000000000000,10,52,90,52
91,x-99.7562255859375y28.1740608215332,91,90153,81137700.000000000000000,11,95,84,52.326766718800265,7.405018666874198,4717415.000000000000000,10,52,31,52
92,x-99.7562255859375y28.2539520263672,92,90165,81148500.000000000000000,11,95,84,52.405090667110301,6.852612595034652,4725105.000000000000000,11,52,41,52
93,x-99.7562255859375y28.3339023590088,93,90161,81144900.000000000000000,11,95,84,53.522176994487637,9.452185845096729,4825613.000000000000000,10,52,31,52
94,x-99.7562255859375y28.413911819458,94,90162,81145800.000000000000000,11,95,84,52.556775581730662,11.464372787594442,4738624.000000000000000,13,52,82,52
95,x-99.7562255859375y28.4939804077148,95,90159,81143100.000000000000000,11,95,84,57.469614791645867,15.274956245756757,5181403.000000000000000,14,52,24,52
96,x-99.7562255859375y28.5741100311279,96,90165,81148500.000000000000000,11,95,84,61.617390339932349,15.717447289667151,5555732.000000000000000,14,52,24,52
97,x-99.7562255859375y28.654296875,97,90156,81140400.000000000000000,11,95,84,67.180819912152273,16.596949088318681,6056754.000000000000000,15,82,24,81
98,x-99.7562255859375y28.7345447540283,98,90161,81144900.000000000000000,11,95,84,64.226217544170979,16.065222395769613,5790700.000000000000000,14,52,24,52
99,x-99.7562255859375y28.8148536682129,99,90163,81146700.000000000000000,11,95,84,63.127857325066820,16.252558198679704,5691797.000000000000000,14,52,42,52
100,x-99.7562255859375y28.8952236175537,100,90167,81150300.000000000000000,11,95,84,57.022491598922002,13.656592411650555,5141547.000000000000000,15,52,24,52
101,x-99.7562255859375y28.9756526947021,101,90158,81142200.000000000000000,11,95,84,55.916058475121453,11.892100107697194,5041280.000000000000000,15,52,24,52
102,x-99.7562255859375y29.0561447143555,102,90158,81142200.000000000000000,11,82,71,53.618125956653877,7.168681762317521,4834103.000000000000000,12,52,31,52
103,x-99.7562255859375y29.136697769165,103,90164,81147600.000000000000000,11,95,84,59.481411649882439,15.236504072887898,5363082.000000000000000,15,52,95,52
104,x-99.7562255859375y29.2173118591309,104,90157,81141300.000000000000000,11,95,84,48.403418481094093,20.341652495612301,4363907.000000000000000,15,52,95,52
105,x-99.7562255859375y29.2979888916016,105,90161,81144900.000000000000000,11,82,71,55.982431428222846,12.209149108829314,5047432.000000000000000,13,52,24,52
106,x-99.7562255859375y29.3787288665771,106,90164,81147600.000000000000000,11,82,71,51.980956922940422,7.460056079188331,4686811.000000000000000,12,52,24,52
107,x-99.7562255859375y29.4595317840576,107,90160,81144000.000000000000000,11,95,84,49.230046583850928,6.481623401841224,4438581.000000000000000,13,52,95,52
108,x-99.7562255859375y29.540397644043,108,90162,81145800.000000000000000,11,95,84,46.860972471773032,7.624021922602354,4225079.000000000000000,14,52,82,52
109,x-99.7562255859375y29.6213264465332,109,90161,81144900.000000000000000,11,95,84,47.540821419460741,8.945343246053005,4286328.000000000000000,15,52,43,52
110,x-99.7562255859375y29.7023181915283,110,90158,81142200.000000000000000,11,95,84,47.803644712615629,9.750456195467818,4309881.000000000000000,15,52,43,52
111,x-99.7562255859375y29.783374786377,111,90164,81147600.000000000000000,11,95,84,46.797446874584089,7.807133315153403,4219445.000000000000000,14,52,24,42
112,x-99.7562255859375y29.8644962310791,112,90160,81144000.000000000000000,11,95,84,46.069953416149069,5.930389420243478,4153667.000000000000000,11,42,95,42
113,x-99.7562255859375y29.9456825256348,113,90161,81144900.000000000000000,11,95,84,49.008972837479618,4.947065924712984,4418698.000000000000000,10,52,23,52
114,x-99.7562255859375y30.0269336700439,114,90163,81146700.000000000000000,11,52,41,51.447888823575077,3.259965309469658,4638696.000000000000000,6,52,11,52
115,x-99.7562255859375y30.1082496643066,115,90162,81145800.000000000000000,21,52,31,51.617932166544662,2.421712999943966,4653976.000000000000000,7,52,23,52
116,x-99.7562255859375y30.1896305084229,116,90158,81142200.000000000000000,11,71,60,50.224738791898666,4.906732710727648,4528162.000000000000000,9,52,11,52
117,x-99.7562255859375y30.2710781097412,117,90161,81144900.000000000000000,21,71,50,51.035835893568169,3.850330983449583,4601442.000000000000000,7,52,23,52
118,x-99.7562255859375y30.3525924682617,118,90163,81146700.000000000000000,21,52,31,51.345973403724365,2.933244820332238,4629507.000000000000000,6,52,23,52
119,x-99.7562255859375y30.4341716766357,119,90160,81144000.000000000000000,11,90,79,49.566481810115349,7.225799117950208,4468914.000000000000000,14,52,31,52
120,x-99.7562255859375y30.5158195495605,120,90160,81144000.000000000000000,11,95,84,48.110281721384204,11.227580672415288,4337623.000000000000000,14,52,95,52
121,x-99.7562255859375y30.5975341796875,121,90171,81153900.000000000000000,11,71,60,50.718368433310047,4.230731775082829,4573326.000000000000000,9,52,11,52
122,x-99.7562255859375y30.6793174743652,122,90153,81137700.000000000000000,21,52,31,51.527891473384138,3.499609953831889,4645394.000000000000000,6,52,23,52
123,x-99.7562255859375y30.8430862426758,123,90161,81144900.000000000000000,21,52,31,51.569203979547702,3.588440190986577,4649531.000000000000000,7,52,24,52
124,x-99.7562255859375y30.9250736236572,124,90165,81148500.000000000000000,11,95,84,51.398724560527924,10.961009047039372,4634366.000000000000000,14,52,43,52
125,x-99.7562255859375y31.0071296691895,125,90160,81144000.000000000000000,21,52,31,51.852384649511976,2.009307279143318,4675011.000000000000000,8,52,24,52
126,x-99.7562255859375y31.0892543792725,126,90162,81145800.000000000000000,21,82,61,52.007309065903598,2.300504358797517,4689083.000000000000000,6,52,22,52
127,x-99.7562255859375y31.1714496612549,127,90163,81146700.000000000000000,11,95,84,52.546887304104786,7.036402369675459,4737785.000000000000000,10,52,95,52
128,x-99.7562255859375y31.3360500335693,128,90159,81143100.000000000000000,11,95,84,53.856997082931265,9.266270330027556,4855693.000000000000000,12,52,24,52
129,x-99.7562255859375y31.4184551239014,129,90167,81150300.000000000000000,11,82,71,60.572393447713686,15.510010963630595,5461631.000000000000000,11,52,24,52
130,x-99.7562255859375y31.5009326934814,130,90162,81145800.000000000000000,11,95,84,53.388633792506823,11.053837907686816,4813626.000000000000000,14,52,24,52
131,x-99.7562255859375y31.5834808349609,131,90152,81136800.000000000000000,11,95,84,50.684144555861209,15.527197196677164,4569277.000000000000000,14,52,24,52
132,x-99.7562255859375y31.6661014556885,132,90166,81149400.000000000000000,11,95,84,52.451389659073264,3.587830667808683,4729332.000000000000000,7,52,11,52
133,x-99.7562255859375y31.8315582275391,133,90159,81143100.000000000000000,11,82,71,55.734047626970131,10.744041717902249,5024926.000000000000000,12,52,24,52
134,x-99.7562255859375y31.9143962860107,134,90154,81138600.000000000000000,11,95,84,57.768629234421098,13.821828237763928,5208073.000000000000000,11,52,95,52
135,x-99.7562255859375y31.9973068237305,135,90168,81151200.000000000000000,11,95,84,52.844545736846776,10.160025159038375,4764887.000000000000000,13,52,95,52
136,x-99.7562255859375y32.1633491516113,136,90161,81144900.000000000000000,11,95,84,63.554086578454097,17.613930773703824,5730100.000000000000000,14,52,95,52
137,x-99.6628646850586y32.0802917480469,137,90157,81141300.000000000000000,11,95,84,55.673192320063890,11.433162456220424,5019328.000000000000000,11,52,95,52
138,x-99.7562255859375y30.7611675262451,138,90159,81143100.000000000000000,21,52,31,51.647067957719138,3.246874554448789,4656448.000000000000000,6,52,23,52
139,x-99.7562255859375y31.2537136077881,139,90156,81140400.000000000000000,11,95,84,55.905497138293626,11.933931788560137,5040216.000000000000000,13,52,71,52
140,x-99.7562255859375y31.7487945556641,140,90164,81147600.000000000000000,11,95,84,52.393882258994722,4.903326170195225,4724042.000000000000000,11,52,24,52
141,x-99.7562255859375y32.2464828491211,141,90163,81146700.000000000000000,11,82,71,54.358783536483926,15.750768087104998,4901151.000000000000000,12,52,31,52
142,x-99.7562255859375y32.3296890258789,142,90163,81146700.000000000000000,11,95,84,49.914732207224695,17.009505436455466,4500462.000000000000000,15,52,31,52
143,x-99.7562255859375y32.412971496582,143,90158,81142200.000000000000000,11,95,84,32.290534395172919,18.998916999602873,2911250.000000000000000,15,22,95,23
144,x-99.7562255859375y32.4963302612305,144,90168,81151200.000000000000000,11,95,84,44.377861325525686,20.446986079046688,4001463.000000000000000,15,52,95,52
145,x-99.7562255859375y32.5797653198242,145,90162,81145800.000000000000000,11,95,84,62.104190235354139,17.600101495338798,5599438.000000000000000,15,52,95,52
146,x-99.7562255859375y32.663272857666,146,90151,81135900.000000000000000,11,82,71,57.237967410233942,12.858695558249810,5160060.000000000000000,12,52,24,52
147,x-99.7562255859375y32.7468605041504,147,90163,81146700.000000000000000,11,95,84,65.681110876967267,16.367161639214029,5922006.000000000000000,15,82,24,71
148,x-99.7562255859375y32.8305244445801,148,90161,81144900.000000000000000,11,95,84,74.687581104912326,15.767796089993029,6733907.000000000000000,12,82,95,82
149,x-99.7562255859375y32.9142646789551,149,90160,81144000.000000000000000,11,95,84,71.125421472937006,19.919305303086912,6412668.000000000000000,14,82,95,82
150,x-99.7562255859375y32.9980850219727,150,90162,81145800.000000000000000,11,95,84,66.422151238881128,16.183805951349498,5988754.000000000000000,14,82,95,71
151,x-99.7562255859375y33.0819816589355,151,90165,81148500.000000000000000,11,95,84,70.190561747906614,16.261300629562278,6328732.000000000000000,14,82,24,82
152,x-99.7562255859375y33.165958404541,152,90160,81144000.000000000000000,11,90,79,70.103294143744449,21.116744361564589,6320513.000000000000000,13,82,11,82
153,x-99.7562255859375y33.2500114440918,153,90157,81141300.000000000000000,11,95,84,78.181605421653344,12.178072106278993,7048619.000000000000000,13,82,23,82
154,x-99.7562255859375y33.3341484069824,154,90163,81146700.000000000000000,11,95,84,77.807726007342254,14.099746991831783,7015378.000000000000000,13,82,23,82
155,x-99.7562255859375y33.4183616638184,155,90168,81151200.000000000000000,11,95,84,77.004347440333603,14.395543051377768,6943328.000000000000000,14,82,11,82
156,x-99.7562255859375y33.5026550292969,156,90153,81137700.000000000000000,11,95,84,65.282841391856067,19.293224448373326,5885444.000000000000000,13,82,23,82
157,x-99.7562255859375y33.587028503418,157,90158,81142200.000000000000000,11,95,84,58.205150957208460,15.265738243663252,5247660.000000000000000,14,52,24,52
158,x-99.7562255859375y33.6714859008789,158,90171,81153900.000000000000000,11,95,84,53.232247618413901,8.854572753947343,4800005.000000000000000,14,52,24,52
159,x-99.7562255859375y33.7560234069824,159,90158,81142200.000000000000000,11,95,84,64.996650324985026,16.227267095577918,5859968.000000000000000,12,52,23,52
160,x-99.7562255859375y33.8406410217285,160,90160,81144000.000000000000000,11,95,84,59.166149068322980,15.193549820737770,5334420.000000000000000,14,52,24,52
161,x-99.7562255859375y33.9253425598145,161,90159,81143100.000000000000000,11,95,84,64.075588682216974,17.060760633083472,5776991.000000000000000,13,52,95,52
162,x-99.7562255859375y34.0101280212402,162,90167,81150300.000000000000000,11,95,84,59.233644237914092,16.563147980575049,5340920.000000000000000,14,52,31,52
163,x-99.7562255859375y34.0949935913086,163,90158,81142200.000000000000000,11,95,84,54.807027662547974,11.995933609359131,4941292.000000000000000,13,52,23,52
164,x-99.7562255859375y34.1799468994141,164,90157,81141300.000000000000000,11,95,84,54.885599565202924,12.370408613327369,4948321.000000000000000,14,52,24,52
165,x-99.7562255859375y34.2649803161621,165,90167,81150300.000000000000000,11,95,84,60.117548548803889,19.097136521489489,5420619.000000000000000,14,52,42,52
166,x-99.7562255859375y34.3501014709473,166,90158,81142200.000000000000000,11,95,84,58.406686040063001,15.048881970868026,5265830.000000000000000,13,52,24,52
167,x-99.7562255859375y34.4353065490723,167,90164,81147600.000000000000000,11,95,84,61.349673927509869,16.820948781628612,5531532.000000000000000,13,52,23,52
168,x-99.6628646850586y27.6164379119873,168,13561,12204900.000000000000000,11,95,84,53.113339724209126,18.308310093580452,720270.000000000000000,15,52,82,52
169,x-99.6628646850586y27.6959266662598,169,87886,79097400.000000000000000,11,95,84,54.364381130100355,12.983777905876224,4777868.000000000000000,15,52,42,52
170,x-99.6628646850586y27.7754726409912,170,90158,81142200.000000000000000,11,95,84,52.773042880276847,8.498382100063967,4757912.000000000000000,13,52,41,52
171,x-99.6628646850586y27.855073928833,171,90164,81147600.000000000000000,11,95,84,52.109456102213741,5.645039785276775,4698397.000000000000000,12,52,24,52
172,x-99.6628646850586y27.9347343444824,172,90159,81143100.000000000000000,11,95,84,53.204926851451326,7.935989724847334,4796903.000000000000000,11,52,24,52
173,x-99.6628646850586y28.0144519805908,173,90164,81147600.000000000000000,11,95,84,52.198438401135711,6.354246002648643,4706420.000000000000000,13,52,43,52
174,x-99.6628646850586y28.0942268371582,174,90155,81139500.000000000000000,11,95,84,51.641328822583326,5.487323621185571,4655724.000000000000000,11,52,42,52
175,x-99.6628646850586y28.1740608215332,175,90165,81148500.000000000000000,11,95,84,51.752298563744247,5.835037818763005,4666246.000000000000000,11,52,41,52
176,x-99.6628646850586y28.2539520263672,176,90159,81143100.000000000000000,11,95,84,55.096806752515000,11.463986516118016,4967473.000000000000000,13,52,43,52
177,x-99.6628646850586y28.3339023590088,177,90165,81148500.000000000000000,11,95,84,52.878067986469247,11.036282866287992,4767751.000000000000000,13,52,43,52
178,x-99.6628646850586y28.413911819458,178,90157,81141300.000000000000000,11,95,84,52.252481781780673,10.333570361262559,4710927.000000000000000,11,52,43,52
179,x-99.6628646850586y28.4939804077148,179,90163,81146700.000000000000000,11,95,84,56.954293889954862,15.455646825336402,5135170.000000000000000,14,52,24,52
180,x-99.6628646850586y28.5741100311279,180,90161,81144900.000000000000000,11,95,84,55.459611140071651,12.621154601816494,5000294.000000000000000,13,52,43,52
181,x-99.6628646850586y28.654296875,181,90161,81144900.000000000000000,11,95,84,52.995042202282583,8.146207510028605,4778086.000000000000000,13,52,41,52
182,x-99.6628646850586y28.7345447540283,182,90162,81145800.000000000000000,11,95,84,53.066757614072451,7.311498545398077,4784605.000000000000000,14,52,41,52
183,x-99.6628646850586y28.8148536682129,183,90157,81141300.000000000000000,11,95,84,52.756302893840747,6.338071788541122,4756350.000000000000000,13,52,24,52
