"","Cell_ID","ant_SM_time","ant_SM","Peak_Time","Peak_SM","minSM_Time","min_SM","Rtrn_Time","Rtrn_Lngth","storm"
"1","x-80.243782043457y37.8296012878418",2020-05-27 06:00:00,0.266615599393845,2020-05-28 12:00:00,0.270474195480347,2020-06-09 21:00:00,0.243059396743774,2020-05-29 21:00:00,33,"al022020"
"2","x-80.1504211425781y37.8296012878418",2020-05-27 06:00:00,0.257302612066269,2020-05-28 12:00:00,0.261715441942215,2020-06-09 21:00:00,0.233833014965057,2020-05-30 00:00:00,36,"al022020"
"3","x-80.0570526123047y37.8296012878418",2020-05-27 06:00:00,0.289043188095093,2020-05-28 12:00:00,0.294385015964508,2020-06-09 21:00:00,0.265525311231613,2020-05-30 18:00:00,54,"al022020"
"4","x-79.9636917114258y37.8296012878418",2020-05-27 06:00:00,0.292279452085495,2020-05-28 12:00:00,0.29821589589119,2020-06-09 21:00:00,0.268883377313614,2020-05-30 21:00:00,57,"al022020"
"5","x-79.8703308105469y37.8296012878418",2020-05-27 06:00:00,0.242092445492744,2020-05-28 12:00:00,0.247868880629539,2020-06-09 21:00:00,0.219078525900841,2020-05-30 21:00:00,57,"al022020"
"6","x-79.776969909668y37.8296012878418",2020-05-27 06:00:00,0.281778961420059,2020-05-28 12:00:00,0.288072019815445,2020-06-09 21:00:00,0.257555186748505,2020-05-30 21:00:00,57,"al022020"
"7","x-79.6836090087891y37.8296012878418",2020-05-27 06:00:00,0.269743412733078,2020-05-28 12:00:00,0.276412636041641,2020-06-09 21:00:00,0.24569471180439,2020-05-30 21:00:00,57,"al022020"
"8","x-79.5902481079102y37.8296012878418",2020-05-27 06:00:00,0.455688148736954,2020-05-28 12:00:00,0.462707757949829,2020-06-09 21:00:00,0.430978566408157,2020-05-31 15:00:00,75,"al022020"
"9","x-79.4968872070312y37.8296012878418",2020-05-27 06:00:00,0.475191205739975,2020-05-29 09:00:00,0.528321802616119,2020-06-04 18:00:00,0.342821717262268,2020-05-30 15:00:00,30,"al022020"
"10","x-79.4035263061523y37.8296012878418",2020-05-27 06:00:00,0.468846768140793,2020-05-30 09:00:00,0.475789934396744,2020-06-09 21:00:00,0.443419814109802,2020-05-31 21:00:00,36,"al022020"
"11","x-79.3101654052734y37.8296012878418",2020-05-27 06:00:00,0.341261506080627,2020-05-30 09:00:00,0.348446011543274,2020-06-09 21:00:00,0.315051645040512,2020-05-31 21:00:00,36,"al022020"
"12","x-79.2168045043945y37.8296012878418",2020-05-27 06:00:00,0.21924977004528,2020-05-28 12:00:00,0.226309821009636,2020-06-09 21:00:00,0.193597853183746,2020-05-31 21:00:00,81,"al022020"
"13","x-79.1234436035156y37.8296012878418",2020-05-27 06:00:00,0.308880120515823,2020-05-28 12:00:00,0.316532015800476,2020-06-11 00:00:00,0.281079024076462,2020-05-31 21:00:00,81,"al022020"
"14","x-79.0300827026367y37.8296012878418",2020-05-27 06:00:00,0.303712159395218,2020-05-28 12:00:00,0.311526924371719,2020-06-11 00:00:00,0.276089280843735,2020-05-31 21:00:00,81,"al022020"
"15","x-78.9367218017578y37.8296012878418",2020-05-27 06:00:00,0.282085537910461,2020-05-28 12:00:00,0.290113806724548,2020-06-10 21:00:00,0.25701105594635,2020-05-31 21:00:00,81,"al022020"
"16","x-78.8433609008789y37.8296012878418",2020-05-27 06:00:00,0.308369487524033,2020-05-28 12:00:00,0.316737413406372,2020-06-10 21:00:00,0.280342996120453,2020-05-31 21:00:00,81,"al022020"
"17","x-78.75y37.8296012878418",2020-05-27 06:00:00,0.296683102846146,2020-05-28 12:00:00,0.305414706468582,2020-06-10 21:00:00,0.270848602056503,2020-05-31 21:00:00,81,"al022020"
"18","x-78.6566390991211y37.8296012878418",2020-05-27 06:00:00,0.345534592866898,2020-05-28 12:00:00,0.354007989168167,2020-06-10 21:00:00,0.318302035331726,2020-05-31 21:00:00,81,"al022020"
"19","x-78.5632781982422y37.8296012878418",2020-05-27 06:00:00,0.373228579759598,2020-05-28 12:00:00,0.381485491991043,2020-06-10 21:00:00,0.344846606254578,2020-05-31 21:00:00,81,"al022020"
"20","x-78.4699172973633y37.8296012878418",2020-05-27 06:00:00,0.354151010513306,2020-05-28 12:00:00,0.36214354634285,2020-06-10 21:00:00,0.323598951101303,2020-05-31 21:00:00,81,"al022020"
"21","x-78.3765563964844y37.8296012878418",2020-05-27 06:00:00,0.376259922981262,2020-05-28 12:00:00,0.383407235145569,2020-06-10 18:00:00,0.344022393226624,2020-05-31 18:00:00,78,"al022020"
"22","x-78.2831954956055y37.8296012878418",2020-05-27 06:00:00,0.344095498323441,2020-05-28 12:00:00,0.350016206502914,2020-06-10 21:00:00,0.30944836139679,2020-05-31 15:00:00,75,"al022020"
"23","x-78.1898345947266y37.8296012878418",2020-05-27 06:00:00,0.329436033964157,2020-05-28 12:00:00,0.333945393562317,2020-06-10 18:00:00,0.293888747692108,2020-05-30 21:00:00,57,"al022020"
"24","x-78.0964736938477y37.8296012878418",2020-05-27 06:00:00,0.324793219566345,2020-05-28 12:00:00,0.328119069337845,2020-06-10 18:00:00,0.28904002904892,2020-05-30 21:00:00,57,"al022020"
"25","x-78.0031127929688y37.8296012878418",2020-05-27 06:00:00,0.233007237315178,2020-05-29 15:00:00,0.235995352268219,2020-06-10 21:00:00,0.203513577580452,2020-05-30 21:00:00,30,"al022020"
"26","x-77.9097518920898y37.8296012878418",2020-05-27 06:00:00,0.205085232853889,2020-05-29 12:00:00,0.209166988730431,2020-06-10 21:00:00,0.179324075579643,2020-05-30 21:00:00,33,"al022020"
"27","x-77.8163909912109y37.8296012878418",2020-05-27 06:00:00,0.200975015759468,2020-05-29 12:00:00,0.205872371792793,2020-06-10 21:00:00,0.177593469619751,2020-05-31 00:00:00,36,"al022020"
"28","x-77.723030090332y37.8296012878418",2020-05-27 06:00:00,0.202278971672058,2020-05-29 12:00:00,0.210160806775093,2020-06-10 21:00:00,0.178149998188019,2020-05-31 18:00:00,54,"al022020"
"29","x-77.6296691894531y37.8296012878418",2020-05-27 06:00:00,0.203175708651543,2020-05-29 12:00:00,0.213738337159157,2020-06-10 21:00:00,0.179910853505135,2020-05-31 21:00:00,57,"al022020"
"30","x-77.5363082885742y37.8296012878418",2020-05-27 06:00:00,0.283416479825974,2020-05-29 12:00:00,0.297596156597137,2020-06-10 21:00:00,0.257921189069748,2020-06-01 18:00:00,78,"al022020"
"31","x-77.4429473876953y37.8296012878418",2020-05-27 06:00:00,0.174380913376808,2020-05-29 12:00:00,0.189395323395729,2020-06-10 21:00:00,0.157235994935036,2020-06-01 21:00:00,81,"al022020"
"32","x-77.3495864868164y37.8296012878418",2020-05-27 06:00:00,0.200086757540703,2020-05-29 12:00:00,0.214304521679878,2020-06-10 21:00:00,0.175544664263725,2020-06-01 21:00:00,81,"al022020"
"33","x-77.2562255859375y37.8296012878418",2020-05-27 06:00:00,0.339684456586838,2020-05-29 12:00:00,0.354862302541733,2020-06-10 21:00:00,0.313460141420364,2020-06-01 21:00:00,81,"al022020"
"34","x-77.1628646850586y37.8296012878418",2020-05-27 06:00:00,0.201626002788544,2020-05-29 12:00:00,0.215476080775261,2020-06-10 21:00:00,0.176774606108665,2020-06-01 21:00:00,81,"al022020"
"35","x-77.0695037841797y37.8296012878418",2020-05-27 06:00:00,0.210337594151497,2020-05-29 12:00:00,0.22234345972538,2020-06-10 21:00:00,0.185715600848198,2020-06-01 21:00:00,81,"al022020"
"36","x-76.9761428833008y37.8296012878418",2020-05-27 06:00:00,0.190057918429375,2020-05-30 12:00:00,0.202269598841667,2020-06-10 21:00:00,0.167440831661224,2020-06-01 21:00:00,57,"al022020"
"37","x-76.8827819824219y37.8296012878418",2020-05-27 06:00:00,0.190021529793739,2020-05-30 12:00:00,0.203167125582695,2020-06-11 00:00:00,0.167887255549431,2020-06-02 00:00:00,60,"al022020"
"38","x-76.789421081543y37.8296012878418",2020-05-27 06:00:00,0.188708111643791,2020-05-30 12:00:00,0.201603278517723,2020-06-11 00:00:00,0.166991591453552,2020-06-02 00:00:00,60,"al022020"
"39","x-76.6960601806641y37.8296012878418",2020-05-27 06:00:00,0.212332367897034,2020-05-30 12:00:00,0.225579425692558,2020-06-11 03:00:00,0.196015939116478,2020-06-02 00:00:00,60,"al022020"
"40","x-76.6026992797852y37.8296012878418",2020-05-27 06:00:00,0.198659524321556,2020-05-30 12:00:00,0.211715951561928,2020-06-11 06:00:00,0.181912466883659,2020-06-02 00:00:00,60,"al022020"
"41","x-76.5093383789062y37.8296012878418",2020-05-27 06:00:00,0.185080707073212,2020-05-30 12:00:00,0.196449384093285,2020-06-11 03:00:00,0.16259728372097,2020-06-01 21:00:00,57,"al022020"
"42","x-76.4159774780273y37.8296012878418",2020-05-27 06:00:00,0.172332569956779,2020-05-30 12:00:00,0.183749213814735,2020-06-11 06:00:00,0.155495882034302,2020-06-01 21:00:00,57,"al022020"
"43","x-76.3226165771484y37.8296012878418",2020-05-27 06:00:00,0.201634630560875,2020-05-30 12:00:00,0.212502375245094,2020-06-11 12:00:00,0.184532269835472,2020-06-01 21:00:00,57,"al022020"
"44","x-76.2292556762695y37.8296012878418",2020-05-27 06:00:00,0.194161832332611,2020-05-30 12:00:00,0.204085662961006,2020-06-11 12:00:00,0.177074670791626,2020-06-01 18:00:00,54,"al022020"
"45","x-75.8558120727539y37.8296012878418",2020-05-27 06:00:00,NA,NA,NA,NA,NA,NA,NA,"al022020"
"46","x-75.762451171875y37.8296012878418",2020-05-27 06:00:00,0.286867052316666,2020-05-28 12:00:00,0.288461238145828,2020-06-11 00:00:00,0.251867920160294,2020-05-29 21:00:00,33,"al022020"
"47","x-75.6690902709961y37.8296012878418",2020-05-27 06:00:00,0.282464444637299,2020-05-28 12:00:00,0.285130709409714,2020-06-11 00:00:00,0.241618350148201,2020-05-30 18:00:00,54,"al022020"
"48","x-75.5757293701172y37.8296012878418",2020-05-27 06:00:00,0.171277046203613,2020-05-28 12:00:00,0.174822643399239,2020-06-11 00:00:00,0.150012418627739,2020-05-30 21:00:00,57,"al022020"
"49","x-75.4823684692383y37.8296012878418",2020-05-27 06:00:00,0.29308894276619,2020-05-28 12:00:00,0.296353906393051,2020-06-11 00:00:00,0.258834511041641,2020-05-30 18:00:00,54,"al022020"
"50","x-75.3890075683594y37.8296012878418",2020-05-27 06:00:00,0.0833744183182716,2020-05-28 12:00:00,0.086588978767395,2020-06-11 00:00:00,0.0730128064751625,2020-05-30 21:00:00,57,"al022020"
"51","x-80.243782043457y37.7407035827637",2020-05-27 06:00:00,0.256220668554306,2020-05-28 12:00:00,0.261064857244492,2020-06-10 21:00:00,0.232140839099884,2020-05-30 00:00:00,36,"al022020"
"52","x-80.1504211425781y37.7407035827637",2020-05-27 06:00:00,0.254932314157486,2020-05-28 12:00:00,0.260158181190491,2020-06-10 21:00:00,0.231085702776909,2020-05-30 15:00:00,51,"al022020"
"53","x-80.0570526123047y37.7407035827637",2020-05-27 06:00:00,0.294994443655014,2020-05-28 12:00:00,0.301088482141495,2020-06-10 21:00:00,0.271032899618149,2020-05-30 18:00:00,54,"al022020"
"54","x-79.9636917114258y37.7407035827637",2020-05-27 06:00:00,0.291560769081116,2020-05-28 12:00:00,0.297886520624161,2020-06-10 21:00:00,0.266759037971497,2020-05-30 21:00:00,57,"al022020"
"55","x-79.8703308105469y37.7407035827637",2020-05-27 06:00:00,0.281791538000107,2020-05-28 12:00:00,0.288323998451233,2020-06-10 21:00:00,0.255986005067825,2020-05-30 21:00:00,57,"al022020"
"56","x-79.776969909668y37.7407035827637",2020-05-27 06:00:00,0.272284746170044,2020-05-28 12:00:00,0.279173165559769,2020-06-11 00:00:00,0.248003646731377,2020-05-30 21:00:00,57,"al022020"
"57","x-79.6836090087891y37.7407035827637",2020-05-27 06:00:00,0.234205141663551,2020-05-28 12:00:00,0.241355374455452,2020-06-11 00:00:00,0.210171043872833,2020-05-30 21:00:00,57,"al022020"
"58","x-79.5902481079102y37.7407035827637",2020-05-27 06:00:00,0.467447608709335,2020-05-28 12:00:00,0.474929839372635,2020-06-09 21:00:00,0.442102640867233,2020-05-31 15:00:00,75,"al022020"
"59","x-79.4968872070312y37.7407035827637",2020-05-27 06:00:00,0.490629106760025,2020-05-28 12:00:00,0.498033791780472,2020-06-09 21:00:00,0.465381056070328,2020-05-31 18:00:00,78,"al022020"
"60","x-79.4035263061523y37.7407035827637",2020-05-27 06:00:00,0.470053672790527,2020-05-30 09:00:00,0.477486252784729,2020-06-09 21:00:00,0.446515440940857,2020-05-31 21:00:00,36,"al022020"
"61","x-79.3101654052734y37.7407035827637",2020-05-27 06:00:00,0.205913320183754,2020-05-28 12:00:00,0.213620766997337,2020-06-09 21:00:00,0.184310808777809,2020-05-31 21:00:00,81,"al022020"
"62","x-79.2168045043945y37.7407035827637",2020-05-27 06:00:00,0.289933532476425,2020-05-28 12:00:00,0.298063904047012,2020-06-09 21:00:00,0.263883858919144,2020-05-31 21:00:00,81,"al022020"
"63","x-79.1234436035156y37.7407035827637",2020-05-27 06:00:00,0.318916022777557,2020-05-28 12:00:00,0.327271997928619,2020-06-09 21:00:00,0.290642708539963,2020-06-01 00:00:00,84,"al022020"
"64","x-79.0300827026367y37.7407035827637",2020-05-27 06:00:00,0.346234440803528,2020-05-28 12:00:00,0.354464024305344,2020-06-11 00:00:00,0.318156123161316,2020-06-01 00:00:00,84,"al022020"
"65","x-78.9367218017578y37.7407035827637",2020-05-27 06:00:00,0.296332389116287,2020-05-28 12:00:00,0.30466639995575,2020-06-11 00:00:00,0.271944314241409,2020-05-31 21:00:00,81,"al022020"
"66","x-78.8433609008789y37.7407035827637",2020-05-27 06:00:00,0.276784211397171,2020-05-28 12:00:00,0.285300403833389,2020-06-10 21:00:00,0.251629799604416,2020-05-31 21:00:00,81,"al022020"
"67","x-78.75y37.7407035827637",2020-05-27 06:00:00,0.331762164831161,2020-05-28 12:00:00,0.339868754148483,2020-06-10 21:00:00,0.306946784257889,2020-05-31 21:00:00,81,"al022020"
"68","x-78.6566390991211y37.7407035827637",2020-05-27 06:00:00,0.356887936592102,2020-05-28 12:00:00,0.365336149930954,2020-06-10 21:00:00,0.328980773687363,2020-05-31 21:00:00,81,"al022020"
"69","x-78.5632781982422y37.7407035827637",2020-05-27 06:00:00,0.367418497800827,2020-05-28 12:00:00,0.375974535942078,2020-06-10 21:00:00,0.338438779115677,2020-05-31 21:00:00,81,"al022020"
"70","x-78.4699172973633y37.7407035827637",2020-05-27 06:00:00,0.35193943977356,2020-05-28 12:00:00,0.360764503479004,2020-06-11 00:00:00,0.321530491113663,2020-05-31 21:00:00,81,"al022020"
"71","x-78.3765563964844y37.7407035827637",2020-05-27 06:00:00,0.347303837537766,2020-05-28 12:00:00,0.355395287275314,2020-06-10 21:00:00,0.314269512891769,2020-05-31 18:00:00,78,"al022020"
"72","x-78.2831954956055y37.7407035827637",2020-05-27 06:00:00,0.3534314930439,2020-05-28 12:00:00,0.359490513801575,2020-06-10 21:00:00,0.320504158735275,2020-05-31 15:00:00,75,"al022020"
"73","x-78.1898345947266y37.7407035827637",2020-05-27 06:00:00,0.219677284359932,2020-05-28 12:00:00,0.224127426743507,2020-06-10 21:00:00,0.189607128500938,2020-05-30 21:00:00,57,"al022020"
"74","x-78.0964736938477y37.7407035827637",2020-05-27 06:00:00,0.232670411467552,2020-05-28 15:00:00,0.235485687851906,2020-06-10 21:00:00,0.204271718859673,2020-05-30 21:00:00,54,"al022020"
"75","x-78.0031127929688y37.7407035827637",2020-05-27 06:00:00,0.233157679438591,2020-05-29 12:00:00,0.236905202269554,2020-06-10 21:00:00,0.204295620322227,2020-05-30 21:00:00,33,"al022020"
"76","x-77.9097518920898y37.7407035827637",2020-05-27 06:00:00,0.228591859340668,2020-05-29 12:00:00,0.233717620372772,2020-06-10 21:00:00,0.203524306416512,2020-05-31 12:00:00,48,"al022020"
"77","x-77.8163909912109y37.7407035827637",2020-05-27 06:00:00,0.224454447627068,2020-05-29 12:00:00,0.230938091874123,2020-06-10 21:00:00,0.202961385250092,2020-05-31 18:00:00,54,"al022020"
"78","x-77.723030090332y37.7407035827637",2020-05-27 06:00:00,0.312860995531082,2020-05-29 12:00:00,0.323686331510544,2020-06-10 21:00:00,0.287299275398254,2020-06-01 00:00:00,60,"al022020"
"79","x-77.6296691894531y37.7407035827637",2020-05-27 06:00:00,0.312736570835114,2020-05-29 12:00:00,0.327077269554138,2020-06-10 21:00:00,0.289948344230652,2020-06-02 00:00:00,84,"al022020"
"80","x-77.5363082885742y37.7407035827637",2020-05-27 06:00:00,0.245898470282555,2020-05-29 12:00:00,0.263656884431839,2020-06-10 21:00:00,0.22317536175251,2020-06-02 21:00:00,105,"al022020"
"81","x-77.4429473876953y37.7407035827637",2020-05-27 06:00:00,0.204694345593452,2020-05-29 12:00:00,0.222643494606018,2020-06-10 21:00:00,0.182135447859764,2020-06-02 21:00:00,105,"al022020"
"82","x-77.3495864868164y37.7407035827637",2020-05-27 06:00:00,0.204745665192604,2020-05-29 12:00:00,0.221790850162506,2020-06-10 21:00:00,0.180797040462494,2020-06-02 18:00:00,102,"al022020"
"83","x-77.2562255859375y37.7407035827637",2020-05-27 06:00:00,0.207284867763519,2020-05-29 12:00:00,0.22397655248642,2020-06-10 21:00:00,0.184418097138405,2020-06-02 21:00:00,105,"al022020"
"84","x-77.1628646850586y37.7407035827637",2020-05-27 06:00:00,0.205057367682457,2020-05-29 12:00:00,0.22078812122345,2020-06-10 21:00:00,0.181765243411064,2020-06-02 18:00:00,102,"al022020"
"85","x-77.0695037841797y37.7407035827637",2020-05-27 06:00:00,0.207414865493774,2020-05-30 12:00:00,0.22185643017292,2020-06-10 21:00:00,0.184371367096901,2020-06-02 21:00:00,81,"al022020"
"86","x-76.9761428833008y37.7407035827637",2020-05-27 06:00:00,0.20949013531208,2020-05-30 12:00:00,0.225101515650749,2020-06-10 21:00:00,0.187143445014954,2020-06-03 00:00:00,84,"al022020"
"87","x-76.8827819824219y37.7407035827637",2020-05-27 06:00:00,0.19052666425705,2020-05-30 12:00:00,0.209286227822304,2020-06-11 09:00:00,0.177213981747627,2020-06-03 21:00:00,105,"al022020"
"88","x-76.789421081543y37.7407035827637",2020-05-27 06:00:00,0.170971259474754,2020-05-30 12:00:00,0.188359186053276,2020-06-11 03:00:00,0.15815781056881,2020-06-03 18:00:00,102,"al022020"
"89","x-76.6960601806641y37.7407035827637",2020-05-27 06:00:00,0.176114976406097,2020-05-30 12:00:00,0.192682445049286,2020-06-11 03:00:00,0.162934929132462,2020-06-03 18:00:00,102,"al022020"
"90","x-76.6026992797852y37.7407035827637",2020-05-27 06:00:00,0.2105762809515,2020-05-30 12:00:00,0.226451471447945,2020-06-11 03:00:00,0.197082087397575,2020-06-03 18:00:00,102,"al022020"
"91","x-76.5093383789062y37.7407035827637",2020-05-27 06:00:00,0.179159715771675,2020-05-30 12:00:00,0.194101855158806,2020-06-11 12:00:00,0.165241226553917,2020-06-03 15:00:00,99,"al022020"
"92","x-76.4159774780273y37.7407035827637",2020-05-27 06:00:00,0.175493970513344,2020-05-30 12:00:00,0.189353406429291,2020-06-11 12:00:00,0.160868510603905,2020-06-02 21:00:00,81,"al022020"
"93","x-76.3226165771484y37.7407035827637",2020-05-27 06:00:00,0.200984075665474,2020-05-30 12:00:00,0.21416537463665,2020-06-11 12:00:00,0.186449989676476,2020-06-02 18:00:00,78,"al022020"
"94","x-75.8558120727539y37.7407035827637",2020-05-27 06:00:00,0.260308861732483,2020-05-27 12:00:00,0.260456055402756,2020-06-11 00:00:00,0.221912726759911,2020-05-27 15:00:00,3,"al022020"
