"","Cell_ID","ant_SM_time","ant_SM","Peak_Time","Peak_SM","minSM_Time","min_SM","Rtrn_Time","Rtrn_Lngth","storm"
"1","x-80.243782043457y37.8296012878418",2016-05-29 06:00:00,0.216359809041023,2016-06-24 06:00:00,0.249847054481506,2016-07-03 21:00:00,0.221913740038872,NA,NA,"al022016"
"2","x-80.1504211425781y37.8296012878418",2016-05-29 06:00:00,0.209209129214287,2016-06-24 06:00:00,0.254847764968872,2016-07-03 21:00:00,0.222900375723839,NA,NA,"al022016"
"3","x-80.0570526123047y37.8296012878418",2016-05-29 06:00:00,0.242629244923592,2016-06-24 06:00:00,0.278535157442093,2016-07-03 21:00:00,0.247578859329224,NA,NA,"al022016"
"4","x-79.9636917114258y37.8296012878418",2016-05-29 06:00:00,0.247549846768379,2016-06-24 06:00:00,0.298547655344009,2016-07-03 21:00:00,0.263992309570312,NA,NA,"al022016"
"5","x-79.8703308105469y37.8296012878418",2016-05-29 06:00:00,0.202058970928192,2016-06-24 06:00:00,0.246004223823547,2016-07-03 21:00:00,0.212272465229034,NA,NA,"al022016"
"6","x-79.776969909668y37.8296012878418",2016-05-29 06:00:00,0.246852204203606,2016-06-24 06:00:00,0.277779251337051,2016-07-04 00:00:00,0.245781049132347,2016-07-03 00:00:00,210,"al022016"
"7","x-79.6836090087891y37.8296012878418",2016-05-29 06:00:00,0.239410981535912,2016-06-24 06:00:00,0.270050764083862,2016-07-04 00:00:00,0.239739879965782,NA,NA,"al022016"
"8","x-79.5902481079102y37.8296012878418",2016-05-29 06:00:00,0.421193510293961,2016-06-24 06:00:00,0.458795785903931,2016-07-04 00:00:00,0.430777281522751,NA,NA,"al022016"
"9","x-79.4968872070312y37.8296012878418",2016-05-29 06:00:00,0.358406066894531,2016-06-24 09:00:00,0.561959147453308,2016-07-03 00:00:00,0.345044106245041,2016-07-03 00:00:00,207,"al022016"
"10","x-79.4035263061523y37.8296012878418",2016-05-29 06:00:00,0.427284508943558,2016-06-05 09:00:00,0.452527165412903,2016-06-21 03:00:00,0.397169470787048,2016-06-11 00:00:00,135,"al022016"
"11","x-79.3101654052734y37.8296012878418",2016-05-29 06:00:00,0.306161433458328,2016-06-05 09:00:00,0.325789004564285,2016-06-21 21:00:00,0.273040562868118,2016-06-09 21:00:00,108,"al022016"
