"","Cell_ID","ant_SM_time","ant_SM","Peak_Time","Peak_SM","minSM_Time","min_SM","Rtrn_Time","Rtrn_Lngth","storm"
"1","x-80.243782043457y37.8296012878418",2017-08-25 18:00:00,0.14066843688488,2017-08-16 06:00:00,0.156395003199577,2017-09-01 03:00:00,0.136643603444099,2017-08-25 18:00:00,228,"al092017"
"2","x-80.1504211425781y37.8296012878418",2017-08-25 18:00:00,0.137223720550537,2017-08-16 06:00:00,0.153057307004929,2017-09-01 03:00:00,0.133123368024826,2017-08-25 18:00:00,228,"al092017"
"3","x-80.0570526123047y37.8296012878418",2017-08-25 18:00:00,0.16687947511673,2017-08-16 06:00:00,0.183876797556877,2017-09-01 03:00:00,0.16203148663044,2017-08-25 18:00:00,228,"al092017"
"4","x-79.9636917114258y37.8296012878418",2017-08-25 18:00:00,0.165237680077553,2017-08-16 06:00:00,0.182926058769226,2017-09-01 00:00:00,0.160334020853043,2017-08-25 18:00:00,228,"al092017"
"5","x-79.8703308105469y37.8296012878418",2017-08-25 18:00:00,0.132588118314743,2017-09-06 18:00:00,0.148730874061584,2017-09-12 00:00:00,0.139967232942581,NA,NA,"al092017"
"6","x-79.776969909668y37.8296012878418",2017-08-25 18:00:00,0.16144534945488,2017-09-06 18:00:00,0.180815160274506,2017-09-12 18:00:00,0.171313390135765,NA,NA,"al092017"
"7","x-79.6836090087891y37.8296012878418",2017-08-25 18:00:00,0.164174064993858,2017-09-06 18:00:00,0.184924885630608,2017-09-16 00:00:00,0.172731146216393,NA,NA,"al092017"
"8","x-79.5902481079102y37.8296012878418",2017-08-25 18:00:00,0.322614938020706,2017-09-06 18:00:00,0.346960157155991,2017-09-16 12:00:00,0.332787275314331,NA,NA,"al092017"
"9","x-79.4968872070312y37.8296012878418",2017-08-25 18:00:00,0.333868712186813,2017-09-07 09:00:00,0.454915195703506,2017-09-16 12:00:00,0.343572407960892,NA,NA,"al092017"
"10","x-79.4035263061523y37.8296012878418",2017-08-25 18:00:00,0.330918878316879,2017-09-06 18:00:00,0.366787821054459,2017-09-16 09:00:00,0.352301865816116,NA,NA,"al092017"
"11","x-79.3101654052734y37.8296012878418",2017-08-25 18:00:00,0.21954034268856,2017-09-06 18:00:00,0.257164627313614,2017-09-16 09:00:00,0.243484273552895,NA,NA,"al092017"
"12","x-79.2168045043945y37.8296012878418",2017-08-25 18:00:00,0.131750285625458,2017-09-06 18:00:00,0.166375234723091,2017-09-12 21:00:00,0.15100009739399,NA,NA,"al092017"
"13","x-79.1234436035156y37.8296012878418",2017-08-25 18:00:00,0.196911931037903,2017-09-06 18:00:00,0.235157251358032,2017-09-12 21:00:00,0.221952497959137,NA,NA,"al092017"
"14","x-79.0300827026367y37.8296012878418",2017-08-25 18:00:00,0.196001634001732,2017-09-06 21:00:00,0.23432619869709,2017-09-12 21:00:00,0.221279576420784,NA,NA,"al092017"
"15","x-78.9367218017578y37.8296012878418",2017-08-25 18:00:00,0.200016796588898,2017-09-06 21:00:00,0.238241031765938,2017-09-12 21:00:00,0.222451612353325,NA,NA,"al092017"
