"","Cell_ID","Pixel_Count"
"211","x-76.4159774780273y36.8574066162109",2
"212","x-76.4159774780273y36.9452819824219",2
"213","x-76.4159774780273y37.0332527160645",2
"214","x-76.4159774780273y37.1213302612305",2
"215","x-76.4159774780273y37.2095031738281",2
"216","x-76.4159774780273y37.297779083252",2
"217","x-76.4159774780273y37.386157989502",1
"218","x-76.4159774780273y37.4746398925781",1
"219","x-76.5093383789062y34.6059722900391",4
"220","x-76.5093383789062y34.6914329528809",5
"221","x-76.5093383789062y34.7769813537598",5
"222","x-76.5093383789062y34.8626174926758",3
"223","x-76.5093383789062y34.9483413696289",4
"224","x-76.5093383789062y35.0341529846191",3
"225","x-76.5093383789062y35.1200523376465",3
"226","x-76.5093383789062y35.2060432434082",3
"227","x-76.5093383789062y35.292121887207",3
"228","x-76.5093383789062y35.378288269043",3
"229","x-76.5093383789062y35.4645500183105",3
"230","x-76.5093383789062y35.5508995056152",2
"231","x-76.5093383789062y35.6373405456543",4
"232","x-76.5093383789062y35.7238731384277",4
"233","x-76.5093383789062y35.8105010986328",3
"234","x-76.5093383789062y35.8972206115723",2
"235","x-76.5093383789062y35.9840316772461",3
"236","x-76.5093383789062y36.0709381103516",3
"237","x-76.5093383789062y36.1579399108887",2
"238","x-76.5093383789062y36.2450332641602",2
"239","x-76.5093383789062y36.3322257995605",1
"240","x-76.5093383789062y36.4195137023926",1
"241","x-76.5093383789062y36.5068969726562",1
"242","x-76.5093383789062y36.6819534301758",1
"243","x-76.5093383789062y36.7696304321289",2
"244","x-76.5093383789062y36.8574066162109",3
"245","x-76.5093383789062y36.9452819824219",2
"246","x-76.5093383789062y37.0332527160645",2
"247","x-76.5093383789062y37.1213302612305",2
"248","x-76.5093383789062y37.2095031738281",2
"249","x-76.5093383789062y37.297779083252",1
"250","x-76.5093383789062y37.386157989502",1
"251","x-76.6026992797852y34.6914329528809",4
"252","x-76.6026992797852y34.7769813537598",5
"253","x-76.6026992797852y34.8626174926758",3
"254","x-76.6026992797852y34.9483413696289",3
"255","x-76.6026992797852y35.0341529846191",3
"256","x-76.6026992797852y35.1200523376465",3
"257","x-76.6026992797852y35.2060432434082",2
"258","x-76.6026992797852y35.292121887207",2
"259","x-76.6026992797852y35.378288269043",2
"260","x-76.6026992797852y35.4645500183105",2
"261","x-76.6026992797852y35.5508995056152",2
"262","x-76.6026992797852y35.6373405456543",4
"263","x-76.6026992797852y35.7238731384277",4
"264","x-76.6026992797852y35.8105010986328",3
"265","x-76.6026992797852y35.8972206115723",3
"266","x-76.6026992797852y35.9840316772461",3
"267","x-76.6026992797852y36.0709381103516",3
"268","x-76.6026992797852y36.1579399108887",2
"269","x-76.6026992797852y36.2450332641602",2
"270","x-76.6026992797852y36.3322257995605",1
"271","x-76.6026992797852y36.4195137023926",1
"272","x-76.6026992797852y36.5068969726562",1
"273","x-76.6026992797852y36.5943756103516",1
"274","x-76.6026992797852y36.6819534301758",1
"275","x-76.6026992797852y36.7696304321289",2
"276","x-76.6026992797852y36.8574066162109",2
"277","x-76.6026992797852y36.9452819824219",2
"278","x-76.6026992797852y37.0332527160645",1
"279","x-76.6026992797852y37.1213302612305",2
"280","x-76.6026992797852y37.2095031738281",2
"281","x-76.6026992797852y37.297779083252",1
"282","x-76.6026992797852y37.386157989502",1
"283","x-76.6960601806641y34.6914329528809",4
"284","x-76.6960601806641y34.7769813537598",4
"285","x-76.6960601806641y34.8626174926758",4
"286","x-76.6960601806641y34.9483413696289",3
"287","x-76.6960601806641y35.0341529846191",3
"288","x-76.6960601806641y35.1200523376465",3
"289","x-76.6960601806641y35.2060432434082",3
"290","x-76.6960601806641y35.292121887207",3
"291","x-76.6960601806641y35.378288269043",4
"292","x-76.6960601806641y35.4645500183105",2
"293","x-76.6960601806641y35.5508995056152",2
"294","x-76.6960601806641y35.6373405456543",5
"295","x-76.6960601806641y35.7238731384277",5
"296","x-76.6960601806641y35.8105010986328",4
"297","x-76.6960601806641y35.8972206115723",3
"298","x-76.6960601806641y35.9840316772461",3
"299","x-76.6960601806641y36.0709381103516",2
"300","x-76.6960601806641y36.1579399108887",2
"301","x-76.6960601806641y36.2450332641602",2
"302","x-76.6960601806641y36.3322257995605",2
"303","x-76.6960601806641y36.4195137023926",1
"304","x-76.6960601806641y36.5068969726562",1
"305","x-76.6960601806641y36.5943756103516",1
"306","x-76.6960601806641y36.6819534301758",1
"307","x-76.6960601806641y36.7696304321289",2
"308","x-76.6960601806641y36.8574066162109",2
"309","x-76.6960601806641y36.9452819824219",1
"310","x-76.6960601806641y37.0332527160645",1
"311","x-76.6960601806641y37.1213302612305",1
"312","x-76.6960601806641y37.2095031738281",1
"313","x-76.6960601806641y37.297779083252",1
"314","x-76.6960601806641y37.386157989502",1
"315","x-76.6960601806641y37.4746398925781",1
"316","x-76.6960601806641y37.5632247924805",1
"317","x-76.6960601806641y37.651912689209",1
"318","x-76.789421081543y34.6914329528809",5
"319","x-76.789421081543y34.7769813537598",3
"320","x-76.789421081543y34.8626174926758",3
"321","x-76.789421081543y34.9483413696289",3
"322","x-76.789421081543y35.0341529846191",3
"323","x-76.789421081543y35.1200523376465",3
"324","x-76.789421081543y35.2060432434082",1
"325","x-76.789421081543y35.292121887207",3
"326","x-76.789421081543y35.378288269043",4
"327","x-76.789421081543y35.4645500183105",2
"328","x-76.789421081543y35.5508995056152",2
"329","x-76.789421081543y35.6373405456543",4
"330","x-76.789421081543y35.7238731384277",5
"331","x-76.789421081543y35.8105010986328",3
"332","x-76.789421081543y35.8972206115723",3
"333","x-76.789421081543y35.9840316772461",3
"334","x-76.789421081543y36.0709381103516",3
"335","x-76.789421081543y36.1579399108887",3
"336","x-76.789421081543y36.2450332641602",2
"337","x-76.789421081543y36.3322257995605",2
"338","x-76.789421081543y36.4195137023926",1
"339","x-76.789421081543y36.5068969726562",1
"340","x-76.789421081543y36.5943756103516",1
"341","x-76.789421081543y36.6819534301758",2
"342","x-76.789421081543y36.7696304321289",2
"343","x-76.789421081543y36.8574066162109",2
"344","x-76.789421081543y36.9452819824219",1
"345","x-76.789421081543y37.0332527160645",1
"346","x-76.789421081543y37.1213302612305",1
"347","x-76.789421081543y37.2095031738281",1
"348","x-76.789421081543y37.297779083252",1
"349","x-76.789421081543y37.386157989502",1
"350","x-76.789421081543y37.4746398925781",1
"351","x-76.789421081543y37.5632247924805",1
"352","x-76.789421081543y37.651912689209",1
"353","x-76.789421081543y37.7407035827637",1
"354","x-76.8827819824219y34.6914329528809",4
"355","x-76.8827819824219y34.7769813537598",5
"356","x-76.8827819824219y34.8626174926758",3
"357","x-76.8827819824219y34.9483413696289",3
"358","x-76.8827819824219y35.0341529846191",3
"359","x-76.8827819824219y35.1200523376465",2
"360","x-76.8827819824219y35.2060432434082",1
"361","x-76.8827819824219y35.292121887207",3
"362","x-76.8827819824219y35.378288269043",2
"363","x-76.8827819824219y35.4645500183105",3
"364","x-76.8827819824219y35.5508995056152",4
"365","x-76.8827819824219y35.6373405456543",4
"366","x-76.8827819824219y35.7238731384277",3
"367","x-76.8827819824219y35.8105010986328",3
"368","x-76.8827819824219y35.8972206115723",3
"369","x-76.8827819824219y35.9840316772461",2
"370","x-76.8827819824219y36.0709381103516",2
"371","x-76.8827819824219y36.1579399108887",2
"372","x-76.8827819824219y36.2450332641602",2
"373","x-76.8827819824219y36.3322257995605",2
"374","x-76.8827819824219y36.4195137023926",2
"375","x-76.8827819824219y36.5068969726562",1
"376","x-76.8827819824219y36.5943756103516",1
"377","x-76.8827819824219y36.6819534301758",2
"378","x-76.8827819824219y36.7696304321289",2
"379","x-76.8827819824219y36.8574066162109",2
"380","x-76.8827819824219y36.9452819824219",1
"381","x-76.8827819824219y37.0332527160645",1
"382","x-76.8827819824219y37.1213302612305",1
"383","x-76.8827819824219y37.2095031738281",1
"384","x-76.8827819824219y37.297779083252",1
"385","x-76.8827819824219y37.386157989502",1
"386","x-76.8827819824219y37.4746398925781",1
"387","x-76.8827819824219y37.5632247924805",1
"388","x-76.8827819824219y37.651912689209",1
"389","x-76.8827819824219y37.7407035827637",1
"390","x-76.8827819824219y37.8296012878418",1
"391","x-76.9761428833008y34.6914329528809",3
"392","x-76.9761428833008y34.7769813537598",3
"393","x-76.9761428833008y34.8626174926758",3
"394","x-76.9761428833008y34.9483413696289",3
"395","x-76.9761428833008y35.0341529846191",2
"396","x-76.9761428833008y35.1200523376465",2
"397","x-76.9761428833008y35.2060432434082",4
"398","x-76.9761428833008y35.292121887207",3
"399","x-76.9761428833008y35.378288269043",2
"400","x-76.9761428833008y35.4645500183105",2
"401","x-76.9761428833008y35.5508995056152",3
"402","x-76.9761428833008y35.6373405456543",3
"403","x-76.9761428833008y35.7238731384277",2
"404","x-76.9761428833008y35.8105010986328",1
"405","x-76.9761428833008y35.8972206115723",2
"406","x-76.9761428833008y35.9840316772461",2
"407","x-76.9761428833008y36.0709381103516",2
"408","x-76.9761428833008y36.1579399108887",2
"409","x-76.9761428833008y36.2450332641602",2
"410","x-76.9761428833008y36.3322257995605",2
"411","x-76.9761428833008y36.4195137023926",2
"412","x-76.9761428833008y36.5943756103516",1
"413","x-76.9761428833008y36.6819534301758",2
"414","x-76.9761428833008y36.7696304321289",2
"415","x-76.9761428833008y36.8574066162109",2
"416","x-76.9761428833008y36.9452819824219",1
"417","x-76.9761428833008y37.0332527160645",1
"418","x-76.9761428833008y37.1213302612305",1
"419","x-76.9761428833008y37.2095031738281",1
"420","x-76.9761428833008y37.297779083252",1
"421","x-76.9761428833008y37.386157989502",1
"422","x-76.9761428833008y37.4746398925781",1
"423","x-76.9761428833008y37.5632247924805",1
"424","x-76.9761428833008y37.651912689209",1
"425","x-76.9761428833008y37.7407035827637",1
"426","x-76.9761428833008y37.8296012878418",1
"427","x-77.0695037841797y34.6059722900391",3
"428","x-77.0695037841797y34.6914329528809",3
"429","x-77.0695037841797y34.7769813537598",3
"430","x-77.0695037841797y34.8626174926758",3
"431","x-77.0695037841797y34.9483413696289",2
"432","x-77.0695037841797y35.0341529846191",2
"433","x-77.0695037841797y35.1200523376465",3
"434","x-77.0695037841797y35.2060432434082",3
"435","x-77.0695037841797y35.292121887207",2
"436","x-77.0695037841797y35.378288269043",3
"437","x-77.0695037841797y35.4645500183105",4
"438","x-77.0695037841797y35.5508995056152",5
"439","x-77.0695037841797y35.6373405456543",2
"440","x-77.0695037841797y35.7238731384277",2
"441","x-77.0695037841797y35.8105010986328",1
"442","x-77.0695037841797y35.8972206115723",2
"443","x-77.0695037841797y35.9840316772461",2
"444","x-77.0695037841797y36.0709381103516",2
"445","x-77.0695037841797y36.1579399108887",2
"446","x-77.0695037841797y36.2450332641602",2
"447","x-77.0695037841797y36.3322257995605",2
"448","x-77.0695037841797y36.4195137023926",2
"449","x-77.0695037841797y36.5068969726562",1
"450","x-77.0695037841797y36.5943756103516",1
"451","x-77.0695037841797y36.6819534301758",2
"452","x-77.0695037841797y36.7696304321289",2
"453","x-77.0695037841797y36.8574066162109",1
"454","x-77.0695037841797y36.9452819824219",1
"455","x-77.0695037841797y37.0332527160645",1
"456","x-77.0695037841797y37.1213302612305",1
"457","x-77.0695037841797y37.2095031738281",1
"458","x-77.0695037841797y37.297779083252",1
"459","x-77.0695037841797y37.386157989502",1
"460","x-77.0695037841797y37.4746398925781",1
"461","x-77.0695037841797y37.5632247924805",1
"462","x-77.0695037841797y37.651912689209",2
"463","x-77.0695037841797y37.7407035827637",1
"464","x-77.0695037841797y37.8296012878418",1
"465","x-77.1628646850586y34.6059722900391",3
"466","x-77.1628646850586y34.6914329528809",3
"467","x-77.1628646850586y34.7769813537598",3
"468","x-77.1628646850586y34.8626174926758",3
"469","x-77.1628646850586y34.9483413696289",2
"470","x-77.1628646850586y35.0341529846191",2
"471","x-77.1628646850586y35.1200523376465",2
"472","x-77.1628646850586y35.2060432434082",3
"473","x-77.1628646850586y35.292121887207",3
"474","x-77.1628646850586y35.378288269043",2
"475","x-77.1628646850586y35.4645500183105",4
"476","x-77.1628646850586y35.5508995056152",5
"477","x-77.1628646850586y35.6373405456543",3
"478","x-77.1628646850586y35.7238731384277",2
"479","x-77.1628646850586y35.8105010986328",1
"480","x-77.1628646850586y35.8972206115723",1
"481","x-77.1628646850586y35.9840316772461",2
"482","x-77.1628646850586y36.0709381103516",2
"483","x-77.1628646850586y36.1579399108887",2
"484","x-77.1628646850586y36.2450332641602",1
"485","x-77.1628646850586y36.3322257995605",2
"486","x-77.1628646850586y36.4195137023926",2
"487","x-77.1628646850586y36.5068969726562",1
"488","x-77.1628646850586y36.5943756103516",1
"489","x-77.1628646850586y36.6819534301758",2
"490","x-77.1628646850586y36.7696304321289",2
"491","x-77.1628646850586y36.8574066162109",1
"492","x-77.1628646850586y36.9452819824219",1
"493","x-77.1628646850586y37.0332527160645",1
"494","x-77.1628646850586y37.1213302612305",1
"495","x-77.1628646850586y37.2095031738281",1
"496","x-77.1628646850586y37.297779083252",1
"497","x-77.1628646850586y37.386157989502",1
"498","x-77.1628646850586y37.4746398925781",2
"499","x-77.1628646850586y37.5632247924805",2
"500","x-77.1628646850586y37.651912689209",1
"501","x-77.1628646850586y37.7407035827637",1
"502","x-77.1628646850586y37.8296012878418",1
"503","x-77.2562255859375y34.5205955505371",4
"504","x-77.2562255859375y34.6059722900391",3
"505","x-77.2562255859375y34.6914329528809",3
"506","x-77.2562255859375y34.7769813537598",3
"507","x-77.2562255859375y34.8626174926758",2
"508","x-77.2562255859375y34.9483413696289",2
"509","x-77.2562255859375y35.0341529846191",2
"510","x-77.2562255859375y35.1200523376465",3
"511","x-77.2562255859375y35.2060432434082",3
"512","x-77.2562255859375y35.292121887207",3
"513","x-77.2562255859375y35.378288269043",4
"514","x-77.2562255859375y35.4645500183105",4
"515","x-77.2562255859375y35.5508995056152",3
"516","x-77.2562255859375y35.6373405456543",2
"517","x-77.2562255859375y35.7238731384277",1
"518","x-77.2562255859375y35.8105010986328",1
"519","x-77.2562255859375y35.8972206115723",1
"520","x-77.2562255859375y35.9840316772461",1
"521","x-77.2562255859375y36.0709381103516",2
"522","x-77.2562255859375y36.1579399108887",1
"523","x-77.2562255859375y36.2450332641602",1
"524","x-77.2562255859375y36.3322257995605",1
"525","x-77.2562255859375y36.4195137023926",2
"526","x-77.2562255859375y36.5068969726562",1
"527","x-77.2562255859375y36.5943756103516",1
"528","x-77.2562255859375y36.6819534301758",2
"529","x-77.2562255859375y36.7696304321289",2
"530","x-77.2562255859375y36.8574066162109",1
"531","x-77.2562255859375y36.9452819824219",1
"532","x-77.2562255859375y37.0332527160645",1
"533","x-77.2562255859375y37.1213302612305",1
"534","x-77.2562255859375y37.2095031738281",1
"535","x-77.2562255859375y37.297779083252",1
"536","x-77.2562255859375y37.386157989502",1
"537","x-77.2562255859375y37.4746398925781",1
"538","x-77.2562255859375y37.5632247924805",1
"539","x-77.2562255859375y37.651912689209",1
"540","x-77.2562255859375y37.7407035827637",1
"541","x-77.2562255859375y37.8296012878418",1
"542","x-77.3495864868164y34.5205955505371",3
"543","x-77.3495864868164y34.6059722900391",3
"544","x-77.3495864868164y34.6914329528809",3
"545","x-77.3495864868164y34.7769813537598",2
"546","x-77.3495864868164y34.8626174926758",2
"547","x-77.3495864868164y34.9483413696289",2
"548","x-77.3495864868164y35.0341529846191",2
"549","x-77.3495864868164y35.1200523376465",3
"550","x-77.3495864868164y35.2060432434082",3
"551","x-77.3495864868164y35.292121887207",4
"552","x-77.3495864868164y35.378288269043",4
"553","x-77.3495864868164y35.4645500183105",4
"554","x-77.3495864868164y35.5508995056152",3
"555","x-77.3495864868164y35.6373405456543",2
"556","x-77.3495864868164y35.7238731384277",1
"557","x-77.3495864868164y35.8105010986328",1
"558","x-77.3495864868164y35.8972206115723",1
"559","x-77.3495864868164y35.9840316772461",1
"560","x-77.3495864868164y36.0709381103516",1
"561","x-77.3495864868164y36.1579399108887",1
"562","x-77.3495864868164y36.2450332641602",1
"563","x-77.3495864868164y36.3322257995605",1
"564","x-77.3495864868164y36.4195137023926",2
"565","x-77.3495864868164y36.5068969726562",1
"566","x-77.3495864868164y36.5943756103516",1
"567","x-77.3495864868164y36.6819534301758",2
"568","x-77.3495864868164y36.7696304321289",1
"569","x-77.3495864868164y36.8574066162109",1
"570","x-77.3495864868164y36.9452819824219",1
"571","x-77.3495864868164y37.0332527160645",1
"572","x-77.3495864868164y37.1213302612305",1
"573","x-77.3495864868164y37.2095031738281",1
"574","x-77.3495864868164y37.297779083252",1
"575","x-77.3495864868164y37.386157989502",1
"576","x-77.3495864868164y37.4746398925781",1
"577","x-77.3495864868164y37.5632247924805",1
"578","x-77.3495864868164y37.651912689209",1
"579","x-77.3495864868164y37.7407035827637",1
"580","x-77.3495864868164y37.8296012878418",1
"581","x-77.4429473876953y34.4353065490723",3
"582","x-77.4429473876953y34.5205955505371",3
"583","x-77.4429473876953y34.6059722900391",3
"584","x-77.4429473876953y34.6914329528809",2
"585","x-77.4429473876953y34.7769813537598",2
"586","x-77.4429473876953y34.8626174926758",2
"587","x-77.4429473876953y34.9483413696289",3
"588","x-77.4429473876953y35.0341529846191",2
"589","x-77.4429473876953y35.1200523376465",3
"590","x-77.4429473876953y35.2060432434082",3
"591","x-77.4429473876953y35.292121887207",4
"592","x-77.4429473876953y35.378288269043",4
"593","x-77.4429473876953y35.4645500183105",4
"594","x-77.4429473876953y35.5508995056152",3
"595","x-77.4429473876953y35.6373405456543",2
"596","x-77.4429473876953y35.7238731384277",1
"597","x-77.4429473876953y35.8972206115723",1
"598","x-77.4429473876953y35.9840316772461",1
"599","x-77.4429473876953y36.0709381103516",1
"600","x-77.4429473876953y36.1579399108887",1
"601","x-77.4429473876953y36.2450332641602",1
"602","x-77.4429473876953y36.3322257995605",1
"603","x-77.4429473876953y36.4195137023926",1
"604","x-77.4429473876953y36.5068969726562",2
"605","x-77.4429473876953y36.5943756103516",1
"606","x-77.4429473876953y36.6819534301758",2
"607","x-77.4429473876953y36.7696304321289",1
"608","x-77.4429473876953y36.8574066162109",1
"609","x-77.4429473876953y36.9452819824219",1
"610","x-77.4429473876953y37.0332527160645",1
"611","x-77.4429473876953y37.1213302612305",1
"612","x-77.4429473876953y37.2095031738281",1
